label,en,es_en_DEEP,es_en_DEEPL,es_en_GOOGLE,es_en_TRANSFORMERS,ar_en_DEEP,ar_en_DEEPL,ar_en_GOOGLE,ar_en_TRANSFORMERS
lemma,14214,13427,13638,13941,13274,13320,13776,13502,12467
word,18142,17063,17336,17542,16725,16843,17321,16988,15630
