label,en,es_en_DEEP,es_en_DEEPL,es_en_GOOGLE,es_en_TRANSFORMERS,ar_en_DEEP,ar_en_DEEPL,ar_en_GOOGLE,ar_en_TRANSFORMERS
unique lemmas,13075,12321,12519,12809,12239,12263,12717,12418,11499
unique words,15755,14780,15035,15264,14643,14729,15210,14870,13735
