mcc,eval_loss,acc,prec_micro,prec_macro,rec_micro,rec_macro,f1_micro,f1_macro,data_name,model_name,seed,train_batch_size,epoch
0.658350019181587,0.6314285257283379,0.7706093189964157,0.7706093189964157,0.6826979158338908,0.7706093189964157,0.6665701139302707,0.7706093189964157,0.6627293855376608,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,123,8,1
0.6808292768677519,0.6481422361205605,0.7873357228195937,0.7873357228195937,0.6959886662988454,0.7873357228195937,0.6872224090120278,0.7873357228195937,0.6867449360890768,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,123,8,2
0.6821296813834974,0.7981064670226153,0.7873357228195937,0.7873357228195937,0.6844108704493359,0.7873357228195937,0.6920468414273988,0.7873357228195937,0.687046696485916,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,123,8,3
0.6882692141526787,1.024238109588623,0.7915173237753883,0.7915173237753883,0.6887225057920581,0.7915173237753883,0.6964093701829132,0.7915173237753883,0.6906991585114589,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,123,8,4
0.6758209223091391,1.1283848390859716,0.7837514934289128,0.7837514934289128,0.6749406282398035,0.7837514934289128,0.6858603197422817,0.7837514934289128,0.6792783585835236,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,123,8,5
0.6857341802944433,0.5763315137694863,0.7903225806451613,0.7903225806451613,0.6901293637865766,0.7903225806451613,0.6980857966794836,0.7903225806451614,0.6923296741572216,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,124,8,1
0.6688811417815886,0.6677234418251935,0.7795698924731183,0.7795698924731183,0.6786778762406555,0.7795698924731183,0.6779329995427623,0.7795698924731183,0.6754631982482898,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,124,8,2
0.6551722978823996,0.8358680763665367,0.7646356033452808,0.7646356033452808,0.6508478561964917,0.7646356033452808,0.6770409859243118,0.7646356033452807,0.6553064252110484,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,124,8,3
0.668650828842662,1.0675515742862927,0.7771804062126643,0.7771804062126643,0.6678260191767535,0.7771804062126643,0.6867424028504884,0.7771804062126643,0.6755844056399647,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,124,8,4
0.6638101654428513,1.204085080062642,0.7741935483870968,0.7741935483870968,0.6671437999600611,0.7741935483870968,0.6797434868193093,0.7741935483870968,0.6704641221490734,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,124,8,5
0.6619707092737337,0.6144631592666402,0.7688172043010753,0.7688172043010753,0.6822573087395597,0.7688172043010753,0.6660821013682545,0.7688172043010751,0.6534426351484702,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,125,8,1
0.675117161009819,0.6343069181722754,0.7825567502986858,0.7825567502986858,0.675506632769168,0.7825567502986858,0.6920505305107905,0.7825567502986858,0.6813663360054292,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,125,8,2
0.6790367098384248,0.8063459150931415,0.7879330943847073,0.7879330943847073,0.6944561528880494,0.7879330943847073,0.6921126873785816,0.7879330943847073,0.6912849434682918,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,125,8,3
0.682643283373018,1.06731098539689,0.7861409796893668,0.7861409796893668,0.6794041555312451,0.7861409796893668,0.6990440958566515,0.7861409796893668,0.6873446630310314,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,125,8,4
0.6799597853710739,1.1770101925906014,0.7855436081242533,0.7855436081242533,0.6763302617205509,0.7855436081242533,0.6926308294863788,0.7855436081242533,0.6832963462500793,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,125,8,5
0.1837356661740036,1.0566528579768013,0.5579450418160096,0.5579450418160096,0.6118882306127862,0.5579450418160096,0.24507437942437132,0.5579450418160096,0.21999827435628663,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,126,8,1
0.6824151273178718,0.636895535623326,0.7933094384707288,0.7933094384707288,0.7049563538733763,0.7933094384707288,0.6799776099963534,0.7933094384707288,0.6884197585950189,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,126,8,2
0.680116198387497,0.6549718923428479,0.7873357228195937,0.7873357228195937,0.6761522336588633,0.7873357228195937,0.6839893339369938,0.7873357228195937,0.6784414852468929,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,126,8,3
0.6920466934747254,0.7678407903979806,0.7915173237753883,0.7915173237753883,0.6858673778881194,0.7915173237753883,0.7116265899534229,0.7915173237753883,0.6963729620412347,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,126,8,4
0.6915959160875,0.87466500787174,0.7927120669056152,0.7927120669056152,0.6868892634794845,0.7927120669056152,0.706292562859332,0.7927120669056152,0.6956561233317458,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,126,8,5
0.6549211968425034,0.6016943577457877,0.7652329749103942,0.7652329749103942,0.6728408090996671,0.7652329749103942,0.6676782994512969,0.7652329749103943,0.6609063442584772,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,127,8,1
0.6743380942369562,0.605385456015082,0.7807646356033453,0.7807646356033453,0.6723254437068548,0.7807646356033453,0.6888540906126892,0.7807646356033453,0.679374023892926,Quad_AR_EN_GT,ConfliBERT-cont-cased-quad-ar-en,127,8,2
