mcc,eval_loss,acc,prec_micro,prec_macro,rec_micro,rec_macro,f1_micro,f1_macro,data_name,model_name,seed,train_batch_size,epoch
0.6195862233166237,0.7258250082240385,0.7514934289127837,0.7514934289127837,0.6592129536902246,0.7514934289127837,0.622135894921846,0.7514934289127837,0.6278398058454819,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,1
0.6550807047700016,0.73260539244203,0.7676224611708483,0.7676224611708483,0.6582405641030599,0.7676224611708483,0.6729286561285793,0.7676224611708484,0.6641068420658145,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,2
0.6446886220176344,0.8605201875462252,0.7688172043010753,0.7688172043010753,0.6604884948910519,0.7688172043010753,0.640656988504424,0.7688172043010751,0.6490245563660506,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,3
0.6520281817868554,1.2384838041137247,0.7694145758661888,0.7694145758661888,0.6560505291060024,0.7694145758661888,0.6576287800868978,0.7694145758661888,0.6566961612238071,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,4
0.6565961908918548,1.3336923402898453,0.7718040621266428,0.7718040621266428,0.6557432768142888,0.7718040621266428,0.6625770716104461,0.7718040621266428,0.6580876071443701,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,5
0.6134010153829207,0.6841940476613886,0.7502986857825568,0.7502986857825568,0.647433516187872,0.7502986857825568,0.6133463813207265,0.7502986857825568,0.6242309470194337,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,1
0.6444261897463744,0.6928921131526723,0.7652329749103942,0.7652329749103942,0.6474242920558102,0.7652329749103942,0.6441152942428102,0.7652329749103943,0.642902654407186,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,2
0.647549671410697,0.9441332501523635,0.7682198327359617,0.7682198327359617,0.6556776763616163,0.7682198327359617,0.6529285624391112,0.7682198327359617,0.6520254340128308,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,3
0.6445414331698779,1.1929315013044022,0.7652329749103942,0.7652329749103942,0.6537922722273702,0.7652329749103942,0.6488393667955749,0.7652329749103943,0.6504854137766065,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,4
0.6418904456981892,1.3481288341914905,0.7634408602150538,0.7634408602150538,0.6491022898935862,0.7634408602150538,0.6489085329419073,0.7634408602150536,0.6478807961326478,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,5
0.6307221827067121,0.7377690795589896,0.7520908004778972,0.7520908004778972,0.641973664437514,0.7520908004778972,0.6301813874620741,0.7520908004778972,0.6252027792849641,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,125,8,1
0.6318672741591306,0.7151085366221035,0.7455197132616488,0.7455197132616488,0.6511097100218161,0.7455197132616488,0.6449334471396148,0.7455197132616488,0.6209311811493098,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,125,8,2
0.6639757655569807,0.8926157144939199,0.7765830346475507,0.7765830346475507,0.6707263057309695,0.7765830346475507,0.6754402870760684,0.7765830346475507,0.6691980234733405,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,125,8,3
0.6520383561346873,1.1748646567849552,0.7688172043010753,0.7688172043010753,0.6568828098021209,0.7688172043010753,0.6625344979812586,0.7688172043010751,0.6551974092329961,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,125,8,4
0.6508568541937474,1.319353261414696,0.7694145758661888,0.7694145758661888,0.6586915141552994,0.7694145758661888,0.6591872503669245,0.7694145758661888,0.6572147103104385,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,125,8,5
0.6357362099769938,0.6789769109557656,0.7562724014336918,0.7562724014336918,0.6398012610201681,0.7562724014336918,0.6439030844826152,0.7562724014336918,0.6400262648125905,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,126,8,1
0.6500523360685369,0.7135289083508884,0.7652329749103942,0.7652329749103942,0.6472056265240772,0.7652329749103942,0.6534642463954464,0.7652329749103943,0.6448388512488036,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,126,8,2
0.6605647603694433,0.9374984607977026,0.7741935483870968,0.7741935483870968,0.668939673828533,0.7741935483870968,0.6719928830500935,0.7741935483870968,0.6698168527824983,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,126,8,3
0.6431068335458164,1.2140134047059452,0.7646356033452808,0.7646356033452808,0.650922468410145,0.7646356033452808,0.6516210812254988,0.7646356033452807,0.6507954219225449,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,126,8,4
0.6467463688741375,1.3577423446318682,0.7652329749103942,0.7652329749103942,0.6516054879778075,0.7652329749103942,0.6599195952433867,0.7652329749103943,0.6552570987073437,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,126,8,5
0.6288623210082772,0.6717482507228851,0.7562724014336918,0.7562724014336918,0.6592627649863753,0.7562724014336918,0.6360744167630232,0.7562724014336918,0.6394165574129655,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,127,8,1
0.655604534350557,0.7882866088081809,0.7652329749103942,0.7652329749103942,0.6538600209230161,0.7652329749103942,0.6656308823095057,0.7652329749103943,0.6514928607291344,Quad_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,127,8,2
