id,en_es_DEEP_to_es_difference_general_rarity,en_es_DEEP_to_es_difference_genre_rarity,en_es_DEEPL_to_es_difference_general_rarity,en_es_DEEPL_to_es_difference_genre_rarity,en_es_GOOGLE_to_es_difference_general_rarity,en_es_GOOGLE_to_es_difference_genre_rarity,en_es_TRANSFORMERS_to_es_difference_general_rarity,en_es_TRANSFORMERS_to_es_difference_genre_rarity
2011/s/2011/463/305:7,0.011666666666666659,0.0033333333333332993,0.0884210526315789,0.025263157894736793,0.011666666666666659,0.0033333333333332993,0.027692307692307683,-0.003076923076923102
2005/s/2005/686/23:1,0.024479524136353237,0.043582704186684994,-0.009269012007583788,-0.013587528965662503,0.024479524136353237,0.043582704186684994,0.0326826058346128,0.029282737442421596
2011/s/2011/245/131:3,0.02857142857142861,0.08571428571428569,0.02142857142857149,0.053968253968254006,-0.012355212355212308,0.07799227799227798,-0.023443223443223415,0.045421245421245406
2014/s/2014/934/17:1,-0.05279503105590061,-0.0124223602484472,0.05194805194805202,0.038961038961039,-0.05279503105590061,-0.0124223602484472,-0.03896103896103892,-0.006493506493506496
2005/s/2005/642/28:3,-0.05076923076923079,-0.0015384615384615996,-0.044137931034482825,0.028965517241379295,-0.05076923076923079,-0.0015384615384615996,-0.044137931034482825,0.028965517241379295
2010/s/2010/528/121:3,0.023023023023023004,0.0570570570570571,0.023023023023023004,0.0570570570570571,0.023023023023023004,0.0570570570570571,0.023023023023023004,0.0570570570570571
2014/s/2014/929/47:6,-0.032206119162640906,-0.0434782608695652,-0.0745341614906832,-0.0434782608695652,-0.032206119162640906,-0.0434782608695652,-0.003105590062111807,-0.007763975155279504
2014/s/2014/869/17:4,0.0323639774859287,0.0103189493433396,0.002747252747252682,0.009157509157509201,0.0323639774859287,0.0103189493433396,-0.029720279720279713,0.006993006993006999
1999/s/res/1267_1999_/37:1,-0.015873015873015872,0.0158730158730159,0.004608294930875612,0.000512032770097294,-0.027649769585253503,0.000512032770097294,0.020737327188940113,0.000512032770097294
2012/s/2012/245/16:1,0.052559511270275916,0.016536760058984606,0.04600460046004601,0.011701170117011703,0.052559511270275916,0.016536760058984606,0.004325675285975217,-0.001538017879457898
2014/s/2014/921/27:1,0.02878448918717369,0.022953020134228203,0.02878448918717369,0.014064131245339298,0.02878448918717369,0.022953020134228203,0.03378183102662086,0.019508044057673105
2013/s/2013/769/22:2,-0.047619047619047616,0.0,0.06666666666666671,0.0230158730158731,-0.047619047619047616,0.0,0.02259887005649719,-0.0252892117298896
2014/s/2014/935/72:3,0.08333333333333331,0.0480769230769231,0.03846153846153838,0.038461538461538394,0.08333333333333331,0.0480769230769231,0.04629629629629628,-0.002849002849002899
2014/s/2014/74/11:2,0.0424185294909776,-0.0106382978723404,0.04096356077280508,0.0008559550012227999,0.0424185294909776,-0.0106382978723404,0.04326241134751771,-0.0106382978723404
2008/s/2008/250/22:1,-0.012293144208037732,-0.02505910165484629,0.008983451536643094,-0.02505910165484629,-0.012293144208037732,-0.02505910165484629,0.008983451536643094,-0.003782505910165393
2014/s/2014/9/68:1,0.03205128205128199,0.0128205128205128,0.04870129870129869,0.0129870129870129,0.025000000000000022,0.0,0.019230769230769218,0.0
2005/s/2005/642/54:5,-0.06104651162790689,-0.014534883720930203,-0.01937984496124029,-0.0006459948320413078,-0.036046511627906896,-0.014534883720930203,-0.06104651162790689,-0.014534883720930203
2013/s/2013/447/22:4,0.0926640926640927,0.0254826254826255,0.08270676691729323,0.024060150375939896,0.0926640926640927,0.0254826254826255,0.06563706563706562,-0.0015444015444015004
2009/s/prst/2009/1/595:1,-0.009210526315789502,-0.025,-0.0173076923076923,-0.025,-0.009210526315789502,-0.025,-0.032317073170731736,-0.025
2009/s/res/1904_2009_/68:1,-0.0021869874248223176,0.0169491525423728,-0.05594758064516131,0.015625,-0.0021869874248223176,0.0169491525423728,-0.03635432667690741,0.0
2005/s/2005/636/29:1,-0.07427055702917768,0.0,-0.039787798408488007,0.0,-0.07427055702917768,0.0,0.008241758241758212,0.0
2008/s/prst/2008/45/2:1,0.008634222919937179,-0.0011773940345368994,-0.010596546310832122,-0.0011773940345368994,0.027864992150706397,0.037284144427001495,0.008634222919937179,-0.0011773940345368994
2010/s/prst/2010/25/568:1,-0.1777777777777778,0.0,-0.1777777777777778,0.0,-0.1777777777777778,0.0,0.0,0.0
2012/s/res/2083__2012_/178:1,0.07707509881422928,-0.001976284584980198,0.03359683794466409,0.041501976284585004,0.09090909090909097,0.0,0.07707509881422928,-0.001976284584980198
2013/s/2013/792/18:1,0.05929791271347251,-0.0265654648956357,0.004372019077901412,-0.004769475357710697,0.05929791271347251,-0.0265654648956357,0.008467023172905597,-0.013368983957219298
2008/s/2008/258/81:3,0.017391304347825987,-0.04,0.04999999999999999,-0.04,0.017391304347825987,-0.04,0.008333333333333276,-0.04
2011/s/2011/463/168:5,-0.006072874493927127,0.0668016194331984,-0.006072874493927127,0.0668016194331984,-0.006072874493927127,0.0668016194331984,0.01648351648351648,0.152014652014652
2005/s/2005/636/676:1,-0.02318840579710152,-0.0051474262868565004,-0.013138686131386912,0.002416310093128697,-0.016071428571428625,0.021120689655172498,-0.038655462184874034,-0.007765864966676306
2014/s/2014/935/80:2,-0.010038610038610007,0.0301158301158301,-0.03861003861003859,0.0301158301158301,-0.010038610038610007,0.0301158301158301,-0.010038610038610007,0.0301158301158301
2014/s/2014/731/14:3,-0.034625322997416,0.0,-0.012403100775193798,0.0222222222222222,-0.034625322997416,0.0,-0.034625322997416,0.0
