id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2014/s/2014/74/11:2,-0.2860991379310345,-0.1756465517241379,-0.3144360023378142,-0.1560490940970193,-0.2860991379310345,-0.1756465517241379,-0.2860991379310345,-0.1756465517241379
2008/s/2008/250/22:1,-0.011614401858304368,-0.1236933797909408,-0.0128048780487805,-0.1201219512195122,-0.011614401858304368,-0.1236933797909408,-0.037804878048780466,-0.1451219512195122
2014/s/2014/9/68:1,-0.24973544973544975,-0.0925925925925925,-0.25456442357850806,-0.0925925925925925,-0.24973544973544975,-0.0925925925925925,-0.24047991653625456,-0.078508085550339
2005/s/2005/642/54:5,-0.1511627906976744,-0.1649709302325582,-0.18571428571428572,-0.1383928571428572,-0.1511627906976744,-0.1649709302325582,-0.09523809523809529,-0.1860119047619048
2013/s/2013/447/22:4,-0.19731800766283536,-0.0488505747126437,-0.21825396825396837,-0.0476190476190476,-0.19731800766283536,-0.0488505747126437,-0.19731800766283536,-0.0488505747126437
2009/s/prst/2009/1/595:1,-0.2728635682158921,-0.0869565217391304,-0.2728635682158921,-0.0869565217391304,-0.2728635682158921,-0.0869565217391304,-0.2728635682158921,-0.0869565217391304
2009/s/res/1904_2009_/68:1,-0.30583126550868484,-0.1538461538461538,-0.31545209176788125,-0.1538461538461538,-0.30583126550868484,-0.1538461538461538,-0.31923076923076926,-0.1538461538461538
2005/s/2005/636/29:1,-0.2777777777777778,-0.1111111111111111,-0.3011695906432749,-0.11403508771929821,-0.2777777777777778,-0.1111111111111111,-0.3011695906432749,-0.11403508771929821
2008/s/prst/2008/45/2:1,-0.10102301790281326,0.03580562659846549,-0.13725490196078427,0.033088235294117696,-0.10102301790281326,0.03580562659846549,-0.13725490196078427,-0.008578431372549
2010/s/prst/2010/25/568:1,-0.2857142857142858,-0.1428571428571428,-0.2857142857142858,-0.1428571428571428,-0.2857142857142858,-0.1428571428571428,-0.2857142857142858,-0.1428571428571428
2012/s/res/2083__2012_/178:1,-0.3092105263157895,-0.009868421052631603,-0.3092105263157895,-0.009868421052631603,-0.3092105263157895,-0.009868421052631603,-0.3092105263157895,-0.009868421052631603
2013/s/2013/792/18:1,-0.22462360369111223,-0.1614861583292861,-0.1542010684798446,-0.1755706653715396,-0.22462360369111223,-0.1614861583292861,-0.2150383141762452,-0.17576628352490428
2008/s/2008/258/81:3,-0.2,-0.05,-0.2815789473684211,-0.04736842105263161,-0.2,-0.05,-0.25,-0.05
2011/s/2011/463/168:5,-0.3034188034188034,-0.1538461538461538,-0.358974358974359,-0.1538461538461538,-0.3034188034188034,-0.1538461538461538,-0.24786324786324787,-0.1538461538461538
2005/s/2005/636/676:1,-0.1597871082199882,-0.07238320520402129,-0.11638229990289917,-0.04730198363157159,-0.1597871082199882,-0.07238320520402129,-0.08793356130923302,-0.044618140368018186
2014/s/2014/935/80:2,-0.32887700534759357,-0.21390374331550802,-0.3181818181818182,-0.18181818181818182,-0.30681818181818177,-0.1477272727272727,-0.27005347593582885,-0.21390374331550802
2014/s/2014/731/14:3,-0.2698412698412699,-0.2777777777777778,-0.2698412698412699,-0.2777777777777778,-0.26608187134502925,-0.2777777777777778,-0.3123123123123124,-0.2777777777777778
2007/s/2007/677/102:2,-0.05067567567567571,-0.09594594594594599,-0.15,-0.09999999999999999,-0.041666666666666685,-0.0944444444444445,-0.08231707317073172,-0.125609756097561
2014/s/2014/957/82:1,-0.20512820512820512,-0.012820512820512886,-0.18962432915921285,-0.1329755515802028,-0.20512820512820512,-0.012820512820512886,-0.18846153846153846,-0.12948717948717947
2012/s/prst/2012/24/10:1,-0.25151515151515164,-0.1484848484848485,-0.22202797202797214,-0.1818181818181818,-0.25151515151515164,-0.1484848484848485,-0.2096912521440824,-0.16295025728988
2005/s/2005/60/462:2,-0.4420062695924765,-0.1363636363636363,-0.3973063973063973,-0.1363636363636363,-0.4420062695924765,-0.1363636363636363,-0.3668831168831169,-0.1363636363636363
2000/s/2000/1196/59:5,-0.3824451410658307,-0.2382445141065831,-0.3479623824451411,-0.2382445141065831,-0.3701298701298702,-0.237012987012987,-0.293939393939394,-0.2393939393939394
2009/s/res/1904_2009_/74:1,-0.30782828282828284,-0.1212121212121212,-0.26430976430976433,-0.1212121212121212,-0.30416161616161613,-0.11321212121212121,-0.31928661616161613,-0.1212121212121212
2014/s/2014/369/37:1,-0.3392982456140351,-0.18,-0.3237037037037037,-0.14296296296296299,-0.3392982456140351,-0.18,-0.3488135593220339,-0.16305084745762718
1999/s/prst/1999/6/19:1,-0.3333333333333333,-0.2222222222222222,-0.3333333333333333,-0.2222222222222222,-0.3333333333333333,-0.2222222222222222,-0.36111111111111105,-0.2222222222222222
2011/s/2011/463/395:4,-0.2022058823529412,-0.15625,-0.16163793103448282,-0.15625,-0.2022058823529412,-0.15625,-0.16163793103448282,-0.15625
2014/s/res/2160__2014_/35:1,-0.1818181818181818,-0.1818181818181818,-0.0984848484848485,-0.1818181818181818,-0.1818181818181818,-0.1818181818181818,-0.1048951048951049,-0.1818181818181818
2001/s/res/1363_2001_/14:1,-0.14901960784313734,-0.11862745098039221,-0.14166666666666672,-0.1177083333333333,-0.14901960784313734,-0.11862745098039221,-0.1504694835680752,-0.1333333333333333
2005/s/2005/572/96:1,-0.21983273596176822,-0.0788530465949821,-0.17245370370370372,-0.0798611111111111,-0.21983273596176822,-0.0788530465949821,-0.20370370370370372,-0.0798611111111111
2014/s/2014/902/70:4,-0.08333333333333337,-0.4166666666666667,-0.14583333333333337,-0.4166666666666667,-0.08333333333333337,-0.4166666666666667,-0.14583333333333337,-0.4166666666666667
2003/s/2003/90/107:3,-0.449404761904762,-0.3898809523809524,-0.4375,-0.3875,-0.449404761904762,-0.3898809523809524,-0.4375,-0.3875
2010/s/prst/2010/25/782:1,-0.47020348837209314,-0.09375,-0.418154761904762,-0.09375,-0.47020348837209314,-0.09375,-0.3943452380952381,-0.09375
