id,es_en_DEEP_difference_general_rare_proportion,es_en_DEEP_difference_genre_rare_proportion,es_en_DEEPL_difference_general_rare_proportion,es_en_DEEPL_difference_genre_rare_proportion,es_en_GOOGLE_difference_general_rare_proportion,es_en_GOOGLE_difference_genre_rare_proportion,es_en_TRANSFORMERS_difference_general_rare_proportion,es_en_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/305:7,0.20631578947368417,-0.6147368421052631,0.18,-0.6575,0.20631578947368417,-0.6147368421052631,0.20631578947368417,-0.6673684210526316
2005/s/2005/686/23:1,-0.03554748313440581,-0.6655422937208096,-0.05306921007581322,-0.6561506480802153,-0.03554748313440581,-0.6655422937208096,-0.034543178973717115,-0.6550688360450564
2011/s/2011/245/131:3,-0.03982683982683982,-0.6857142857142857,-0.0928571428571428,-0.6857142857142857,-0.03982683982683982,-0.6857142857142857,-0.030357142857142805,-0.6857142857142857
2014/s/2014/934/17:1,-0.0582010582010582,-0.6044973544973546,0.0931677018633541,-0.548136645962733,-0.0582010582010582,-0.6044973544973546,0.16233766233766245,-0.5422077922077924
2005/s/2005/642/28:3,-0.01565217391304352,-0.76,0.027826086956521667,-0.7165217391304348,0.027826086956521667,-0.7165217391304348,0.027826086956521667,-0.7165217391304348
2010/s/2010/528/121:3,-0.044463818657367093,-0.6059285091543156,0.0213963963963964,-0.4943693693693695,-0.044463818657367093,-0.6059285091543156,-0.003603603603603678,-0.5693693693693694
2014/s/2014/929/47:6,-0.07707509881422928,-0.7806324110671937,-0.054347826086956486,-0.7760869565217391,-0.07707509881422928,-0.7806324110671937,-0.12252964426877469,-0.8260869565217391
2014/s/2014/869/17:4,0.10627530364372473,-0.7429149797570851,0.1686813186813187,-0.7406593406593408,0.10627530364372473,-0.7429149797570851,0.1282051282051283,-0.7414529914529916
1999/s/res/1267_1999_/37:1,-0.042328042328042326,-0.6640211640211641,-0.03373015873015872,-0.6646825396825398,-0.042328042328042326,-0.6640211640211641,-0.025725232621784333,-0.6308155446086482
2012/s/2012/245/16:1,0.0017601760176017,-0.6783278327832784,0.04241674167416737,-0.665954095409541,0.0050061185893869875,-0.6778284570030036,0.0232161147149198,-0.6653010128599067
2014/s/2014/921/27:1,-0.007084265473527196,-0.6049057206775328,-0.02679752712227279,-0.6142503187318084,-0.0015508436054439967,-0.6006845102810237,0.0021311110404275135,-0.6122968287795414
2013/s/2013/769/22:2,-0.01614668856048168,-0.7391899288451013,-0.02286790422383639,-0.740651062684961,-0.009189640768588192,-0.7376775271512114,-0.05555555555555558,-0.753968253968254
2014/s/2014/935/72:3,-0.06277213352685052,-0.7126269956458636,-0.08618233618233623,-0.7136752136752138,-0.05769230769230771,-0.7115384615384617,-0.06766381766381774,-0.7136752136752138
2014/s/2014/74/11:2,0.056280027453672,-0.69114619080302,0.08799134511359541,-0.6895059502344033,0.056280027453672,-0.69114619080302,0.03356308061132757,-0.7093197482768955
2008/s/2008/250/22:1,0.1087087087087088,-0.518918918918919,0.12222222222222229,-0.5411764705882353,0.1087087087087088,-0.518918918918919,0.12222222222222229,-0.511764705882353
2014/s/2014/9/68:1,0.025000000000000022,-0.6069444444444445,0.06428571428571433,-0.5910714285714286,0.025000000000000022,-0.6069444444444445,0.01231884057971011,-0.6480072463768116
2005/s/2005/642/54:5,-0.0067319461444309,-0.6389228886168911,-0.0067319461444309,-0.6389228886168911,-0.0067319461444309,-0.6389228886168911,-0.0067319461444309,-0.6389228886168911
2013/s/2013/447/22:4,-0.042857142857142816,-0.8,-0.042857142857142816,-0.8,-0.042857142857142816,-0.8,-0.042857142857142816,-0.8
2009/s/prst/2009/1/595:1,0.017857142857142794,-0.725,0.025000000000000022,-0.725,0.017857142857142794,-0.725,-0.020161290322580627,-0.725
2009/s/res/1904_2009_/68:1,-0.054838709677419384,-0.7252688172043011,-0.07897664071190219,-0.7419354838709677,-0.04975396391470749,-0.7249863313285949,-0.06670311645708038,-0.7419354838709677
2005/s/2005/636/29:1,-0.016194331983805654,-0.7550607287449393,-0.14652014652014658,-0.7600732600732601,-0.016194331983805654,-0.7550607287449393,-0.0346153846153846,-0.7576923076923077
2008/s/prst/2008/45/2:1,-0.007381676074685095,-0.6930091185410335,-0.028658271819365977,-0.6930091185410335,0.013894919669995731,-0.6504559270516718,0.0,-0.653061224489796
2010/s/prst/2010/25/568:1,0.0444444444444444,-0.8,0.02857142857142847,-0.8,0.0444444444444444,-0.8,0.02857142857142847,-0.8
2012/s/res/2083__2012_/178:1,0.027272727272727282,-0.6772727272727272,-0.009569377990430616,-0.6746411483253589,0.027272727272727282,-0.6772727272727272,-0.022727272727272707,-0.6772727272727272
2013/s/2013/792/18:1,0.06356736242884248,-0.6603415559772297,0.14816870144284128,-0.6387347391786905,0.06356736242884248,-0.6603415559772297,0.10750507099391471,-0.6592292089249494
2008/s/2008/258/81:3,0.19368421052631568,-0.7073684210526316,0.05333333333333329,-0.76,0.19368421052631568,-0.7073684210526316,0.05333333333333329,-0.76
2011/s/2011/463/168:5,-0.0664335664335664,-0.6923076923076923,-0.07692307692307687,-0.6923076923076923,-0.0664335664335664,-0.6923076923076923,-0.06461538461538457,-0.6923076923076923
2005/s/2005/636/676:1,0.11362889983579638,-0.6729064039408866,0.051724137931034475,-0.6522377109317682,0.11903183023872677,-0.6624668435013262,0.08945998698763824,-0.673715029277814
2014/s/2014/935/80:2,0.054898648648648685,-0.7212837837837838,0.04258804258804261,-0.7231777231777232,0.08198198198198198,-0.6504504504504505,0.04258804258804261,-0.7231777231777232
