id,es_en_DEEP_to_en_difference_general_rarity,es_en_DEEP_to_en_difference_genre_rarity,es_en_DEEPL_to_en_difference_general_rarity,es_en_DEEPL_to_en_difference_genre_rarity,es_en_GOOGLE_to_en_difference_general_rarity,es_en_GOOGLE_to_en_difference_genre_rarity,es_en_TRANSFORMERS_to_en_difference_general_rarity,es_en_TRANSFORMERS_to_en_difference_genre_rarity,ar_en_DEEP_to_en_difference_general_rarity,ar_en_DEEP_to_en_difference_genre_rarity,ar_en_DEEPL_to_en_difference_general_rarity,ar_en_DEEPL_to_en_difference_genre_rarity,ar_en_GOOGLE_to_en_difference_general_rarity,ar_en_GOOGLE_to_en_difference_genre_rarity,ar_en_TRANSFORMERS_to_en_difference_general_rarity,ar_en_TRANSFORMERS_to_en_difference_genre_rarity
2011/s/2011/463/305:7,0.0030959752321981227,0.0,0.029411764705882415,0.0,0.0030959752321981227,0.0,0.0030959752321981227,0.0,0.09191176470588241,0.0,0.14052287581699358,0.0,0.09191176470588241,0.0,0.09191176470588241,0.0
2005/s/2005/686/23:1,-0.0275466284074605,-0.0222381635581062,-0.04016227180527379,-0.012846517917511902,-0.0275466284074605,-0.0222381635581062,-0.0235294117647058,-0.011764705882352997,-0.0275466284074605,-0.0222381635581062,-0.006094968107725002,0.001417434443656905,-0.0275466284074605,-0.0222381635581062,-0.02612859097127218,0.010943912448700403
2011/s/2011/245/131:3,0.0692640692640693,-0.0571428571428571,0.013392857142857206,-0.0571428571428571,0.0692640692640693,-0.0571428571428571,0.0758928571428572,-0.0571428571428571,-0.017857142857142794,-0.0258928571428571,-0.00952380952380949,0.009523809523809497,-0.017857142857142794,-0.0258928571428571,0.050691244239631394,0.007373271889400894
2014/s/2014/934/17:1,-0.1777777777777778,-0.025925925925926005,-0.05217391304347835,0.030434782608695587,-0.1777777777777778,-0.025925925925926005,0.009090909090909094,0.03636363636363629,-0.050000000000000044,0.0,-0.031578947368421095,0.005263157894736789,-0.050000000000000044,0.0,0.09999999999999998,0.0111111111111111
2005/s/2005/642/28:3,0.0,0.0,0.04347826086956519,0.0434782608695652,0.04347826086956519,0.0434782608695652,0.04347826086956519,0.0434782608695652,0.03542673107890498,0.0,0.030797101449275388,0.0416666666666666,0.03542673107890498,0.0,0.04347826086956519,0.0
2010/s/2010/528/121:3,-0.1209677419354839,-0.06048387096774201,0.0,0.0,-0.1209677419354839,-0.06048387096774201,-0.0833333333333334,-0.058333333333333404,-0.09,-0.125,0.06578947368421051,-0.07236842105263161,-0.09,-0.125,-0.10185185185185189,-0.125
2014/s/2014/929/47:6,0.020979020979021004,0.0454545454545454,0.0346153846153847,0.05,0.020979020979021004,0.0454545454545454,-0.024475524475524396,0.0,0.020979020979021004,0.0454545454545454,0.0274725274725275,0.0,0.020979020979021004,0.0454545454545454,0.009615384615384706,0.0416666666666666
2014/s/2014/869/17:4,-0.013157894736842202,-0.036184210526315805,0.0357142857142857,-0.0339285714285715,-0.013157894736842202,-0.036184210526315805,0.0,-0.0347222222222223,-0.044117647058823595,-0.033088235294117696,-0.03125,-0.03125,-0.044117647058823595,-0.033088235294117696,-0.03125,-0.03125
1999/s/res/1267_1999_/37:1,-0.017879948914431676,-0.0332056194125159,-0.008620689655172376,-0.0338669950738916,-0.017879948914431676,-0.0332056194125159,0.0,0.0,0.010610079575596842,-0.0517241379310344,0.0006385696040868138,-0.014687100893997398,0.010610079575596842,-0.0517241379310344,0.014106583072100332,-0.0153605015673981
2012/s/2012/245/16:1,-0.058397932816537546,-0.024806201550387603,-0.01849894291754761,-0.012684989429175501,-0.05552652207995823,-0.024431669715181605,-0.038091419406575844,-0.012162523389468105,-0.015102913659449324,-0.012162523389468105,0.015458276333789267,-0.0228454172366621,-0.015102913659449324,-0.012162523389468105,-0.05021722463582934,-0.036161512905699
2014/s/2014/921/27:1,0.019047619047619008,0.0,0.01392729134664622,-0.004608294930875605,0.0239802693985961,0.00018971732119139884,0.013179869104039704,-0.0002256826901377018,-0.002135854341736687,-0.0071778711484594,0.011040876527602217,0.0099030762747577,-0.002135854341736687,-0.0071778711484594,-0.0035303776683086874,-0.008825944170771802
2013/s/2013/769/22:2,-0.021711366538952837,-0.002554278416347401,-0.026679221594475833,-0.0031387319522913,0.0009746588693956837,-0.001949317738791402,-0.029100529100529127,-0.0013227513227513019,-0.004469987228607919,0.014687100893997398,-0.019732847601700132,-0.004250151791135401,-0.024492234169653515,0.011350059737156498,-0.029100529100529127,-0.005291005291005298
2014/s/2014/935/72:3,-0.02285921625544271,-0.0203193033381713,-0.04487179487179491,-0.021367521367521403,-0.03846153846153852,-0.0192307692307693,-0.026353276353276417,-0.021367521367521403,-0.029720279720279713,-0.004195804195804204,0.014876632801161083,-0.001451378809869397,-0.029720279720279713,-0.004195804195804204,0.059294871794871806,0.006410256410256401
2014/s/2014/74/11:2,0.004352278545826871,-0.015616999487967204,0.03524347592144206,-0.014796879203658901,0.004352278545826871,-0.015616999487967204,-0.030404650122960036,-0.0317460317460317,-0.019841269841269826,-0.016121031746031703,-0.04950228679042243,0.0021522733387139975,-0.019841269841269826,-0.016121031746031703,-0.035466269841269826,-0.016121031746031703
2008/s/2008/250/22:1,0.051351351351351326,0.029054054054054,-0.005882352941176505,0.004411764705882299,0.051351351351351326,0.029054054054054,0.052941176470588214,0.0338235294117647,-0.01428571428571429,-0.0011904761904762001,0.0,0.025,-0.01428571428571429,-0.0011904761904762001,-0.024999999999999967,0.0
