id,es_noun_counts,es_verb_counts,es_lemma_counts,en_es_DEEP_noun_counts,en_es_DEEP_verb_counts,en_es_DEEP_lemma_counts,en_es_DEEPL_noun_counts,en_es_DEEPL_verb_counts,en_es_DEEPL_lemma_counts,en_es_GOOGLE_noun_counts,en_es_GOOGLE_verb_counts,en_es_GOOGLE_lemma_counts,en_es_TRANSFORMERS_noun_counts,en_es_TRANSFORMERS_verb_counts,en_es_TRANSFORMERS_lemma_counts
2011/s/2013/467/68:8,9,5,34,9,2,31,9,2,30,9,2,31,8,2,34
2014/s/2014/957/24:2,11,0,25,9,2,23,9,0,24,9,2,23,10,1,25
2011/s/2011/463/469:3,6,4,25,6,4,24,6,4,24,6,4,24,6,4,25
2000/s/2000/1196/42:3,4,0,14,3,0,17,3,0,17,3,0,17,3,0,18
2011/s/res/1989_2011_/84:1,10,5,39,11,4,37,11,4,38,11,4,37,11,4,37
2005/s/2005/60/1179:1,12,1,29,12,1,28,11,1,27,12,1,28,11,1,28
2011/s/2011/463/370:4,9,2,42,10,3,38,11,3,43,10,3,38,10,3,39
2014/s/prst/2014/3/4:1,22,1,47,14,1,48,21,1,46,14,1,49,22,1,46
2005/s/2005/699/140:1,24,9,58,23,8,58,24,9,56,23,8,58,25,9,60
2003/s/2003/90/120:3,2,0,12,3,1,12,2,1,10,3,1,12,1,2,13
2012/s/2012/164/9:1,8,4,37,7,4,36,8,4,38,7,4,36,8,4,37
2006/s/prst/2006/41/6:1,10,5,32,11,4,32,11,4,31,11,4,33,10,5,33
2014/s/2014/276/160:1,29,9,59,30,11,58,30,11,59,30,11,58,33,11,60
2012/s/2012/24/21:3,5,2,27,5,2,26,5,2,26,5,2,26,5,2,26
2012/s/2012/373/81:1,16,8,54,18,7,54,18,7,54,18,7,54,19,7,56
2005/s/2005/60/570:1,6,2,21,8,1,23,8,1,24,8,1,23,9,1,23
2014/s/2014/276/177:2,14,2,40,14,2,40,14,2,40,14,2,40,14,1,39
2005/s/2005/603/25:3,6,2,31,6,2,30,7,2,31,6,2,30,5,2,30
2005/s/2005/625/103:1,25,15,77,26,13,80,27,13,81,27,13,80,27,13,82
2012/s/2012/373/372:1,6,4,30,7,4,25,6,4,25,7,4,25,7,3,24
2008/s/2008/250/5:4,15,3,44,15,3,46,13,3,42,15,3,46,15,3,46
2005/s/2005/60/80:1,4,0,9,3,0,8,3,0,8,3,0,8,3,0,7
2005/s/2005/603/23:1,10,3,35,11,5,37,12,5,38,11,4,37,11,4,33
2012/s/2012/797/22:1,14,6,43,11,9,47,11,10,46,11,9,46,13,10,46
2012/s/2012/160/7:4,34,12,76,32,12,70,32,11,71,32,12,70,25,7,57
2005/s/2005/60/694:1,4,4,28,4,4,28,4,4,28,4,4,28,4,4,28
2010/s/prst/2010/2/10:1,4,2,18,4,1,16,4,1,16,4,1,16,4,2,18
2008/s/2008/258/33:5,11,3,31,12,3,33,12,3,35,11,3,34,13,4,36
2006/s/2006/822/119:1,25,8,58,25,8,59,24,8,55,23,8,61,25,8,58
2005/s/2005/60/614:2,10,4,32,10,3,29,9,3,27,9,3,27,9,3,27
2014/s/prst/2014/3/1140:1,25,9,46,24,7,45,25,6,44,24,7,45,26,7,45
2006/s/2006/822/288:1,9,2,36,9,2,36,9,2,36,9,2,36,8,2,36
2005/s/2005/60/359:1,12,4,35,11,4,37,13,4,37,11,4,37,13,3,37
2010/s/res/1963_2010_/9:1,18,7,41,15,8,42,17,7,42,15,8,42,15,7,40
2012/s/2012/24/33:4,10,7,34,10,9,36,12,7,37,10,9,36,9,8,34
2005/s/2005/60/452:12,2,1,9,2,1,9,2,1,9,2,1,9,2,1,10
2009/s/2009/502/58:6,11,3,43,10,4,39,10,4,39,10,4,39,10,4,39
2014/s/2014/935/22:4,5,5,37,5,4,36,5,4,36,5,3,36,5,4,35
2000/s/2000/1196/18:5,4,2,20,5,2,24,4,2,22,5,2,24,5,2,23
2005/s/2005/60/1170:1,1,0,16,2,0,16,2,0,15,2,0,16,3,0,16
2009/s/2009/502/111:4,21,4,56,23,3,55,23,3,55,23,3,56,23,3,54
2012/s/2012/79/41:4,6,1,33,6,1,31,6,1,31,6,1,31,5,1,31
2008/s/2008/804/36:1,9,5,29,10,5,30,9,5,30,10,5,30,10,4,29
2010/s/2010/497/97:1,6,4,32,5,5,34,7,5,34,6,4,35,6,5,33
2014/s/2014/731/26:5,14,6,36,15,6,38,15,6,37,15,6,38,15,4,35
2008/s/2008/738/11:1,23,4,62,20,3,61,19,4,60,20,3,61,20,5,62
2008/s/prst/2008/31/4:1,16,10,52,19,4,47,20,5,50,19,4,48,19,5,49
2011/s/2013/467/81:1,3,1,18,3,1,20,3,1,20,3,1,20,3,1,19
2005/s/2005/60/548:2,7,2,24,10,0,29,10,0,29,10,0,29,10,0,29
2011/s/2011/463/446:1,17,5,39,15,4,39,16,3,37,15,4,39,18,3,37
2011/s/2011/463/445:1,12,2,32,10,2,27,10,2,28,10,2,27,10,2,27
1999/s/res/1267_1999_/17:1,12,7,38,12,7,39,11,7,36,12,7,39,12,7,39
2005/s/prst/2005/64/3:1,10,3,39,9,4,39,9,3,37,9,4,40,9,3,36
2001/s/res/1373_2001_/5:1,6,3,28,6,4,29,7,4,30,6,4,29,6,4,29
2013/s/prst/2013/13/20:1,9,3,44,9,3,43,9,3,43,8,3,44,9,3,42
2005/s/2005/572/228:1,7,5,29,6,5,29,6,4,29,6,5,29,7,4,30
2005/s/2005/572/162:3,11,7,42,11,7,41,10,7,42,12,7,43,12,6,40
2011/s/2013/467/108:3,9,3,29,8,3,30,8,3,30,8,3,30,9,3,31
2011/s/2011/463/97:9,8,4,27,7,2,19,7,2,19,7,2,19,7,2,19
2013/s/prst/2013/15/25:3,7,3,19,7,3,19,7,3,19,7,3,19,7,3,19
2011/s/2011/463/56:1,14,2,32,16,1,35,15,1,35,16,1,35,13,2,30
2005/s/2005/604/6:2,18,4,43,14,4,40,15,3,41,16,3,41,14,3,37
2005/s/2005/761/15:4,8,4,28,7,5,25,9,4,28,7,5,25,5,4,22
2014/s/2014/957/79:2,12,4,34,12,3,35,12,3,35,12,3,35,13,2,36
2014/s/2014/41/131:4,9,4,27,9,3,29,10,3,29,9,3,29,9,3,29
2014/s/2014/740/8:3,9,2,36,8,2,36,8,2,35,8,2,37,7,3,36
2005/s/2005/60/491:1,5,3,22,5,2,21,5,2,21,5,2,21,5,2,21
2004/s/2004/384/95:3,3,3,18,3,2,17,3,2,16,3,2,17,3,1,16
2014/s/2014/905/77:1,16,5,45,16,5,46,17,5,46,16,5,46,16,5,45
2005/s/2005/60/642:2,8,2,22,7,2,21,7,3,22,7,2,21,8,2,22
2014/s/res/2170__2014_/24:1,8,2,36,8,2,34,8,2,34,8,2,34,8,2,34
2014/s/2014/9/52:7,6,3,21,5,3,21,6,3,22,5,3,21,6,3,22
2014/s/prst/2014/3/789:2,16,11,54,20,11,59,21,10,60,20,10,59,19,11,58
2013/s/2013/769/447:1,6,0,18,5,0,16,5,0,16,4,0,17,6,0,18
2005/s/2005/636/493:1,16,1,25,14,2,25,10,0,18,14,2,25,13,3,24
2014/s/2014/276/175:1,19,5,43,18,3,41,18,5,43,18,3,41,19,4,42
2003/s/prst/2003/27/41:1,19,1,44,20,1,46,20,1,45,20,1,44,19,1,44
2009/s/2009/289/54:3,9,3,31,8,2,26,7,2,24,8,2,26,8,2,26
2005/s/2005/636/37:1,7,6,39,6,6,33,8,4,37,6,6,33,6,6,35
2011/s/2013/467/62:2,11,5,36,9,4,29,9,4,31,9,4,29,9,4,29
2005/s/2005/673/30:3,15,4,44,14,2,39,14,1,38,14,2,39,14,2,39
2000/s/2000/1198/28:1,8,1,23,7,1,21,7,1,22,7,1,21,7,1,22
2005/s/2005/60/469:6,4,2,18,4,1,17,4,1,17,4,1,17,4,1,17
2007/s/2007/229/35:1,14,5,44,13,5,40,12,5,40,13,5,40,13,5,39
2014/s/2014/9/53:3,11,2,25,10,2,28,9,2,27,10,2,28,11,2,29
2014/s/2014/41/63:2,3,1,19,2,0,18,2,0,19,2,0,18,2,0,18
2004/s/2004/384/140:2,8,3,26,9,4,30,9,3,28,9,4,30,9,5,29
2014/s/2014/41/105:3,5,3,37,5,2,35,5,2,34,6,2,35,6,2,37
2014/s/2014/73/103:6,5,3,18,5,3,19,7,3,20,5,3,19,6,4,20
2014/s/2014/945/34:1,19,5,57,18,5,58,20,5,55,18,5,58,18,5,55
2008/s/2008/258/21:3,10,4,33,10,4,33,10,4,33,10,4,33,10,4,33
2011/s/2011/463/266:5,8,3,21,5,4,23,8,4,24,5,4,23,8,4,24
2014/s/2014/923/19:4,8,2,36,8,2,35,8,2,35,8,2,35,8,2,36
2005/s/res/1624_2005_/9:1,16,5,49,15,2,50,15,2,47,15,2,53,14,2,50
2014/s/2014/902/95:1,10,2,28,9,2,27,9,2,27,9,2,27,10,2,30
2005/s/2005/60/425:2,8,4,24,10,3,25,11,2,27,10,3,25,9,4,27
2005/s/2005/60/642:3,10,3,26,9,3,24,9,3,24,9,3,24,9,3,24
2005/s/2005/698/24:2,6,8,31,9,4,32,10,4,32,10,4,33,9,4,32
2006/s/2006/822/132:3,11,4,36,10,3,38,10,3,37,10,3,38,11,3,36
2005/s/prst/2005/34/4:2,9,4,29,7,4,26,8,4,27,7,4,26,8,4,26
2005/s/2005/572/236:1,18,7,51,18,7,52,20,4,45,18,7,52,19,5,45
2011/s/2013/467/134:4,6,3,22,7,3,25,7,3,25,7,3,25,7,3,24
2005/s/2005/800/38:1,13,9,49,15,5,52,15,4,50,15,5,52,16,5,52
2012/s/prst/2012/24/16:1,21,8,91,21,8,92,21,8,92,21,8,93,21,8,91
2008/s/2008/16/28:1,7,3,27,7,3,28,6,4,25,7,3,28,7,4,27
2012/s/2012/373/601:1,5,2,16,5,2,16,5,2,17,5,2,16,5,2,16
2005/s/2005/645/7:6,5,4,28,5,5,28,5,5,27,5,5,28,5,5,28
2005/s/2005/60/952:4,5,1,24,3,1,21,3,1,22,3,1,21,6,1,23
2005/s/2005/686/24:1,48,10,99,48,10,98,50,8,100,51,8,97,49,10,98
2005/s/2005/695/2:2,22,5,52,20,3,51,24,4,53,20,3,51,22,4,52
2014/s/2014/731/15:5,11,3,28,10,3,27,10,3,28,10,3,26,11,3,30
2006/s/2006/822/51:2,1,1,9,1,2,9,1,2,9,1,2,9,1,2,9
2005/s/2005/631/30:4,7,1,22,7,1,23,6,1,24,7,1,23,7,1,22
2013/s/2013/264/18:2,12,1,33,9,1,27,9,1,27,9,1,27,9,1,27
2011/s/res/1988_2011_/17:1,18,6,56,16,5,50,17,3,49,16,5,50,16,5,50
2008/s/2008/379/46:3,6,3,22,5,2,19,5,2,20,5,2,19,5,2,21
2005/s/2005/636/410:1,18,0,25,14,3,23,14,3,23,15,3,24,17,3,24
2008/s/2008/25/53:1,14,5,37,14,6,40,15,5,39,14,6,40,13,5,35
2014/s/2014/740/8:5,10,3,24,8,2,23,7,3,22,8,2,23,9,2,24
2011/s/2011/463/200:3,7,2,24,7,2,24,7,2,23,7,2,24,8,2,23
2005/s/res/1624_2005_/5:1,22,8,50,22,8,41,22,9,47,22,8,41,22,9,48
2005/s/2005/60/827:5,20,2,41,19,2,42,18,2,43,19,2,42,20,2,43
2005/s/2005/60/903:1,5,2,28,5,2,26,6,1,26,5,2,27,5,2,27
2010/s/prst/2010/25/430:1,20,7,54,19,5,52,22,6,54,19,5,52,20,5,51
2006/s/2006/154/93:3,11,9,41,12,10,46,12,9,46,12,10,46,13,10,43
2005/s/2005/60/554:6,7,1,27,5,2,28,6,1,26,5,2,27,4,1,24
2010/s/prst/2010/25/202:1,10,0,21,8,0,17,9,0,18,8,0,17,9,0,20
2000/s/2000/1196/38:1,8,5,37,10,3,32,11,3,34,10,3,32,10,3,31
2009/s/prst/2009/13/6:1,8,2,25,8,2,25,8,2,26,8,2,26,8,2,25
2004/s/2004/384/51:2,6,6,34,6,6,33,8,6,34,6,6,33,7,6,33
2014/s/2014/740/23:5,8,5,26,6,5,23,7,6,25,6,5,23,7,6,27
2010/s/2010/528/78:1,5,3,22,5,3,23,4,3,24,5,3,23,5,3,22
2010/s/2010/497/3:1,11,2,39,12,1,41,14,2,43,12,1,41,12,2,39
2014/s/2014/869/20:2,14,4,38,14,3,36,11,3,33,14,3,36,14,2,38
2011/s/2011/294/2:2,6,2,25,5,3,25,5,3,22,5,3,25,5,3,21
2005/s/2005/60/135:1,10,0,28,10,1,29,10,1,28,10,0,28,10,0,27
2009/s/prst/2009/1/257:1,35,8,60,29,7,58,31,8,59,29,7,58,27,8,58
2014/s/2014/945/39:3,8,1,23,6,1,19,6,1,19,6,1,19,6,1,19
2012/s/2012/373/242:1,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14
2009/s/2009/389/9:1,0,0,6,1,0,8,1,0,8,1,0,8,0,0,7
2005/s/2005/635/120:2,5,2,13,5,2,13,5,2,12,5,2,13,5,2,13
2013/s/2013/327/52:1,17,4,54,16,4,49,18,4,51,16,4,49,16,4,50
2005/s/2005/631/50:1,7,3,19,7,2,22,7,2,23,7,2,22,7,2,24
2005/s/2005/656/12:1,34,10,70,31,11,74,34,10,72,31,11,74,32,12,71
2005/s/2005/60/426:5,10,7,40,8,8,41,9,7,42,8,8,41,9,7,42
1999/s/prst/1999/6/20:2,13,5,35,13,5,34,11,5,34,13,5,34,13,5,35
2005/s/2005/662/482:6,9,3,27,8,3,27,8,3,27,8,3,27,8,3,27
2005/s/2005/572/207:1,23,6,55,16,4,43,16,4,44,16,4,43,14,4,39
2010/s/2010/522/39:1,9,2,31,12,1,29,11,1,29,12,1,29,11,1,28
2006/s/2006/822/155:5,11,1,28,10,1,30,10,1,28,10,1,30,9,1,29
2006/s/2006/822/190:5,2,2,11,4,2,12,4,2,11,4,2,12,2,2,11
2012/s/2012/249/6:1,9,5,33,9,5,34,9,5,35,9,5,34,8,5,33
2014/s/2014/945/77:2,21,10,73,21,9,74,21,8,73,21,9,74,22,10,75
2005/s/2005/572/92:1,18,1,59,17,1,57,16,1,54,18,1,58,15,1,54
2005/s/2005/60/395:4,9,1,26,8,3,25,8,1,20,8,2,26,8,1,23
2008/s/2008/258/96:2,7,2,21,7,3,21,8,2,20,7,3,21,8,2,20
2014/s/2014/419/27:1,5,3,17,5,3,18,5,3,18,5,3,18,6,3,18
2014/s/2014/740/75:4,16,2,36,17,2,37,18,2,36,17,2,37,16,2,34
2012/s/2012/16/162:5,7,4,22,7,4,24,7,4,25,7,4,24,5,4,19
2014/s/2014/935/39:6,5,2,17,5,2,18,5,2,17,5,2,18,5,2,18
2014/s/2014/9/11:1,10,1,25,7,1,25,10,1,25,7,1,25,8,1,24
2005/s/2005/60/322:1,7,2,21,6,2,17,7,2,19,6,2,17,7,1,18
2006/s/2006/822/156:5,6,3,24,6,3,25,6,4,24,6,3,25,6,2,21
2008/s/res/1805_2008_/15:1,10,7,40,10,6,35,13,6,39,10,6,35,13,5,39
2010/s/res/1963_2010_/27:1,25,5,68,22,5,68,23,5,66,22,5,68,24,5,69
2006/s/2006/822/282:4,4,2,16,3,1,13,3,1,13,3,1,13,3,1,13
2006/s/2006/154/254:2,1,1,9,2,1,11,2,1,11,2,1,11,2,1,11
2011/s/2011/689/22:1,11,7,30,10,10,33,10,10,34,11,9,34,9,10,32
2010/s/2010/497/109:3,12,4,42,12,4,42,12,5,41,12,4,42,10,3,40
2014/s/2014/902/78:1,8,3,31,8,3,30,8,3,29,8,3,30,8,3,29
2014/s/prst/2014/3/94:1,6,3,25,5,2,22,5,2,22,5,2,22,5,3,23
2005/s/2005/68/37:3,7,1,28,7,1,34,7,1,32,7,1,34,6,1,31
2005/s/2005/572/132:4,5,2,17,5,2,18,5,2,17,5,2,17,5,2,17
2005/s/2005/636/726:1,14,0,33,7,2,30,7,3,33,7,2,30,7,3,34
2014/s/prst/2014/23/40:1,40,9,84,37,7,81,39,7,83,37,7,82,39,7,82
2006/s/res/1674_2006_/20:1,33,9,69,31,10,70,32,9,73,30,10,70,32,10,72
2007/s/2007/677/159:3,8,4,32,8,3,28,7,3,29,8,3,28,8,3,28
2011/s/2011/373/7:1,15,3,52,11,3,47,12,3,47,11,3,47,13,4,49
2011/s/res/1989_2011_/60:1,54,17,82,54,14,75,56,15,75,54,14,75,51,15,68
2014/s/2014/41/101:2,6,2,25,7,1,21,5,1,21,7,1,21,7,1,22
2000/s/2000/596/55:1,10,1,24,9,2,24,9,2,24,9,2,24,11,1,24
2003/s/2003/90/55:2,13,1,41,13,1,43,12,1,43,13,1,43,13,1,43
2000/s/2000/1196/80:1,8,4,29,8,4,32,7,3,30,8,4,32,7,4,30
2014/s/2014/935/152:1,9,4,35,11,4,34,10,4,34,11,4,34,9,4,34
2005/s/2005/6/14:7,9,5,38,9,5,37,8,5,36,9,5,37,8,5,36
2006/s/2006/154/119:2,10,7,41,9,6,40,7,6,38,9,6,40,7,6,38
2007/s/2007/677/90:2,3,3,20,4,2,17,4,2,17,4,2,17,5,1,16
2005/s/2005/673/80:1,9,3,31,7,2,30,7,2,31,7,2,30,7,2,29
2003/s/2003/216/29:2,5,2,21,4,3,20,5,3,21,4,3,20,5,3,21
2005/s/2005/634/18:2,8,1,23,9,3,26,9,3,25,9,3,26,9,3,26
2005/s/2005/60/851:1,9,4,33,7,3,32,7,3,32,7,3,32,7,4,33
2011/s/2011/463/163:1,4,1,12,3,1,11,2,1,9,3,1,11,4,1,12
2005/s/2005/60/14:3,5,0,16,5,1,18,5,1,19,5,1,18,5,0,15
2009/s/prst/2009/1/3:1,8,2,28,9,2,28,8,2,27,9,2,29,9,2,27
2013/s/prst/2013/11/17:1,10,3,42,13,5,48,13,6,47,13,6,49,13,6,50
2003/s/2003/191/46:1,12,0,43,12,2,43,12,1,40,11,2,41,13,0,40
2008/s/2008/324/69:1,7,0,26,5,0,23,6,0,23,5,0,23,5,0,23
2010/s/res/1963_2010_/12:1,21,7,46,20,6,41,20,6,41,20,6,41,21,5,40
2011/s/2011/298/81:6,12,5,31,11,6,30,11,4,28,11,6,30,11,5,28
2010/s/prst/2010/10/17:1,20,6,60,16,6,52,19,6,58,16,6,53,18,7,55
2007/s/prst/2007/43/6:1,11,7,38,9,7,35,10,7,36,10,7,36,9,7,33
2011/s/2011/245/52:4,12,3,37,12,1,34,11,3,34,12,1,34,11,2,36
2005/s/2005/60/356:2,7,2,27,7,3,22,8,3,25,6,3,21,8,3,25
2006/s/2006/154/105:1,19,5,61,20,5,66,18,5,64,20,5,66,18,5,62
2005/s/2005/68/10:1,10,3,38,10,3,38,10,3,38,10,3,39,10,3,40
2005/s/2005/657/23:3,16,2,33,14,2,31,14,2,31,14,2,31,16,2,31
2014/s/2014/943/23:1,23,15,69,20,13,62,20,13,61,20,13,62,19,13,60
2005/s/2005/662/293:2,7,4,29,12,3,31,9,4,30,12,3,31,11,4,30
2008/s/2008/801/26:1,7,1,26,7,1,26,7,1,27,7,1,26,8,1,27
2012/s/2012/161/197:1,3,0,13,2,0,13,2,0,13,2,0,13,2,0,12
2009/s/res/1894_2009_/67:1,22,6,58,22,5,53,23,5,56,22,5,53,22,5,54
2005/s/2005/636/207:1,21,0,32,18,3,31,19,3,32,18,3,31,18,2,29
2008/s/2008/324/135:1,9,4,30,8,3,28,9,3,30,8,3,28,9,4,27
2013/s/2013/769/328:1,2,0,9,4,0,8,3,0,8,4,0,8,3,0,8
2012/s/2012/373/686:1,6,3,24,5,3,25,5,4,24,5,4,25,5,5,26
2004/s/prst/2004/39/10:1,6,3,22,6,3,23,6,3,23,7,3,24,6,3,22
2014/s/2014/869/33:1,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10
2005/s/2005/761/138:1,9,2,30,6,3,29,6,3,26,6,3,29,10,4,30
2005/s/2005/60/166:2,6,2,23,4,2,20,5,2,21,4,2,20,4,2,21
2006/s/2006/822/341:1,5,3,27,4,3,27,4,2,29,4,3,27,4,3,27
2006/s/2006/154/284:4,3,2,14,2,2,11,1,2,10,2,2,11,3,2,13
2005/s/2005/61/218:1,13,3,54,14,3,50,13,3,48,14,3,50,14,3,50
2010/s/2010/462/7:1,1,0,9,3,0,11,3,0,11,3,0,11,3,0,11
2005/s/2005/60/210:3,7,2,26,6,1,22,6,1,23,6,1,22,6,1,22
2010/s/2010/529/84:1,11,3,31,9,2,29,9,3,30,9,2,29,9,2,29
2005/s/2005/60/602:2,16,0,33,15,1,35,16,0,34,15,1,35,16,0,34
2006/s/2006/822/234:2,6,1,18,5,2,18,5,1,15,5,2,18,5,1,15
2005/s/2005/67/22:2,4,3,27,4,2,26,4,2,26,4,2,26,4,2,25
2010/s/2010/522/35:4,8,1,22,6,1,20,4,1,19,6,1,20,6,1,20
2005/s/2005/631/10:3,9,4,31,7,3,29,7,3,28,7,3,29,7,3,30
2012/s/prst/2012/28/12:1,20,6,58,18,7,59,18,6,58,18,7,60,20,7,57
2008/s/2008/251/68:3,16,5,40,14,4,38,15,4,39,14,4,39,13,4,38
2000/s/2000/1198/37:2,5,1,16,5,1,16,4,1,14,5,1,16,5,1,16
2014/s/2014/74/23:3,13,4,34,18,3,41,18,3,40,18,3,41,17,1,37
2014/s/2014/929/99:2,10,3,34,9,3,35,10,3,34,9,3,35,10,3,34
2005/s/2005/673/70:2,8,4,34,8,3,35,9,4,34,8,3,35,8,4,34
2005/s/2005/663/70:5,9,3,33,9,3,33,9,3,33,9,3,33,10,3,34
2014/s/2014/74/19:5,19,6,45,17,5,44,17,6,43,17,5,44,17,5,46
2005/s/2005/68/19:6,10,3,31,7,4,25,7,4,27,7,4,25,8,3,24
2005/s/2005/60/577:6,1,2,11,1,1,10,1,1,10,1,1,10,1,1,10
2014/s/2014/99/29:1,14,7,51,15,6,48,15,5,49,15,6,48,15,5,49
2014/s/2014/923/11:2,25,8,58,25,7,55,25,8,54,25,7,55,25,8,55
2008/s/2008/251/77:1,7,5,36,9,4,39,9,4,39,9,4,39,7,4,38
2011/s/2011/245/82:1,14,5,54,14,5,51,15,5,50,15,5,51,12,5,51
2012/s/2012/797/45:1,11,2,44,12,2,42,10,2,40,12,2,42,11,2,43
2005/s/2005/636/575:1,7,0,16,5,0,14,5,0,14,5,0,14,5,0,14
2007/s/prst/2007/47/5:1,4,2,19,4,2,22,4,2,22,4,2,23,5,2,21
2009/s/prst/2009/1/290:1,23,4,51,22,4,50,22,5,50,22,4,50,23,4,51
2005/s/2005/60/607:2,6,8,30,11,2,25,13,1,27,11,2,28,12,2,28
2011/s/2011/463/430:3,10,4,31,15,2,32,14,2,31,15,2,31,15,2,32
2005/s/2005/635/79:4,5,3,24,2,2,15,2,1,15,2,2,15,2,2,14
2008/s/2008/259/12:1,2,0,11,1,0,8,1,0,8,1,0,8,1,0,8
2011/s/2011/463/435:4,5,3,20,4,3,20,5,3,20,4,3,20,5,3,20
2005/s/2005/60/780:2,12,4,32,11,4,33,10,4,34,11,4,33,10,4,30
2005/s/2005/603/67:1,11,3,31,11,4,35,11,4,34,11,4,35,11,4,34
2005/s/2005/60/191:5,4,2,27,3,1,22,3,1,22,3,1,22,3,1,22
2005/s/2005/60/185:3,10,4,30,11,4,29,12,3,29,11,4,29,10,4,28
2011/s/2011/463/454:4,25,6,54,21,4,53,24,4,53,21,4,53,21,5,51
2005/s/2005/636/387:1,11,2,25,10,2,23,11,2,23,10,2,23,10,3,24
2008/s/2008/80/58:1,8,1,31,6,1,29,6,2,30,6,1,29,6,1,29
2005/s/2005/60/466:1,7,4,23,6,2,20,6,2,20,6,2,20,6,2,20
2005/s/2005/668/2:1,2,2,27,3,2,28,2,2,25,3,2,28,3,2,28
2005/s/2005/60/787:1,4,1,16,4,1,17,5,0,15,4,1,17,4,1,17
2005/s/2005/60/567:2,7,6,36,8,6,35,9,6,36,8,6,35,8,6,38
2008/s/2008/258/96:3,9,2,31,10,2,28,9,2,27,10,2,28,9,2,29
2005/s/2005/60/746:1,11,5,44,11,3,40,11,3,40,11,3,40,11,3,40
2008/s/2008/259/14:3,14,8,47,19,4,49,17,3,44,18,4,50,18,3,47
2010/s/prst/2010/25/689:1,11,2,32,10,2,31,10,2,31,10,2,31,10,2,31
2011/s/2013/467/129:5,9,3,42,12,2,42,11,3,42,12,2,42,12,2,43
2011/s/2011/463/482:3,8,3,25,7,2,23,8,2,23,7,2,23,8,2,23
2010/s/2010/522/64:1,3,3,13,3,3,13,3,3,13,3,3,13,2,3,12
2010/s/2010/497/71:4,2,1,12,2,1,11,2,1,11,2,1,11,2,1,11
2014/s/2014/648/12:1,4,3,18,5,3,18,5,3,19,5,3,18,5,3,19
2005/s/2005/61/196:1,13,6,40,12,5,33,14,5,36,12,5,33,13,5,36
2009/s/prst/2009/1/27:1,11,0,33,12,1,33,11,3,37,12,1,33,12,2,34
2005/s/2005/673/18:3,12,5,37,12,5,37,14,5,41,12,5,37,14,4,41
2005/s/2005/60/433:1,6,1,20,7,1,19,7,1,19,7,1,19,7,1,19
2005/s/2005/61/224:1,4,1,23,3,0,23,4,1,23,3,0,23,3,1,23
2005/s/2005/572/204:1,9,3,32,10,2,28,9,2,27,9,3,31,9,3,30
2005/s/2005/572/254:6,16,2,40,15,4,44,20,4,46,15,4,44,18,4,47
2005/s/2005/650/8:4,6,5,28,5,5,27,6,5,28,5,5,27,7,4,28
2005/s/2005/572/169:1,22,8,59,23,10,62,23,9,61,23,10,62,21,8,61
2010/s/2010/528/49:1,7,2,33,7,2,35,6,2,33,7,2,35,7,2,32
2005/s/2005/60/951:1,21,5,46,23,5,53,23,5,52,22,5,56,24,5,55
2001/s/res/1363_2001_/20:1,21,10,64,20,11,62,21,10,61,20,11,62,21,10,63
2005/s/2005/636/295:1,12,0,21,9,1,20,8,1,20,9,1,20,10,1,20
2012/s/res/2082__2012_/35:1,9,2,29,9,2,31,9,3,31,9,2,31,9,2,31
2011/s/2011/463/447:3,21,3,44,24,1,41,24,0,44,24,1,41,23,2,45
2014/s/2014/943/45:1,16,3,44,17,1,43,17,1,43,17,1,43,18,1,43
2011/s/2011/525/17:2,9,3,30,7,3,27,8,3,28,7,3,27,8,3,28
2013/s/2013/769/368:1,3,0,13,3,0,13,2,0,13,3,0,13,3,0,13
2007/s/2007/677/65:2,8,5,24,8,3,23,8,3,23,8,3,23,9,3,24
2005/s/2005/688/28:2,6,7,40,7,7,39,6,7,40,7,7,39,5,7,37
2011/s/2011/245/68:2,11,4,47,11,6,52,10,6,49,11,6,52,14,6,53
2006/s/2006/822/126:4,11,4,43,11,4,43,11,4,43,11,4,43,10,4,44
2005/s/2005/60/205:6,7,3,25,7,3,24,7,3,24,7,3,24,7,3,26
2005/s/2005/60/493:3,3,1,13,4,1,14,4,1,14,4,1,14,4,1,14
2008/s/2008/379/148:1,4,3,15,5,2,17,3,2,14,5,2,17,5,2,16
2005/s/2005/689/13:1,7,6,31,6,5,27,8,3,29,6,5,27,6,5,27
2005/s/2005/60/470:2,3,2,16,3,2,16,3,2,16,3,2,16,3,2,16
2014/s/2014/943/72:1,2,0,9,2,0,8,2,0,8,2,0,8,2,0,8
2013/s/prst/2013/11/4:2,10,5,40,9,3,31,9,4,30,9,3,31,10,4,37
2005/s/2005/636/730:1,10,0,19,4,1,19,6,0,20,4,1,19,5,1,19
2005/s/2005/60/167:4,10,1,33,10,1,35,10,1,34,10,1,35,10,1,34
2000/s/2000/1194/5:1,8,1,24,8,1,23,8,1,23,8,1,23,8,1,23
2000/s/2000/1196/97:2,3,2,22,3,2,19,4,2,22,3,2,19,3,2,18
2010/s/2010/462/2:1,7,4,29,7,4,28,7,4,31,7,4,28,7,4,31
2004/s/2004/384/89:3,6,5,41,9,6,39,9,4,38,10,6,42,7,7,39
2014/s/2014/914/21:5,10,1,29,10,3,32,9,3,31,10,3,32,9,3,31
