id,en_general_rarity,en_genre_rarity,es_en_DEEP_general_rarity,es_en_DEEP_genre_rarity,es_en_DEEPL_general_rarity,es_en_DEEPL_genre_rarity,es_en_GOOGLE_general_rarity,es_en_GOOGLE_genre_rarity,es_en_TRANSFORMERS_general_rarity,es_en_TRANSFORMERS_genre_rarity,ar_en_DEEP_general_rarity,ar_en_DEEP_genre_rarity,ar_en_DEEPL_general_rarity,ar_en_DEEPL_genre_rarity,ar_en_GOOGLE_general_rarity,ar_en_GOOGLE_genre_rarity,ar_en_TRANSFORMERS_general_rarity,ar_en_TRANSFORMERS_genre_rarity
2011/s/2011/463/305:7,0.47058823529411764,0.0,0.47368421052631576,0.0,0.5,0.0,0.47368421052631576,0.0,0.47368421052631576,0.0,0.5625,0.0,0.6111111111111112,0.0,0.5625,0.0,0.5625,0.0
2005/s/2005/686/23:1,0.24705882352941178,0.058823529411764705,0.21951219512195122,0.036585365853658534,0.20689655172413793,0.04597701149425287,0.21951219512195122,0.036585365853658534,0.2235294117647059,0.047058823529411764,0.21951219512195122,0.036585365853658534,0.24096385542168675,0.060240963855421686,0.21951219512195122,0.036585365853658534,0.22093023255813954,0.06976744186046512
2011/s/2011/245/131:3,0.14285714285714285,0.05714285714285714,0.21212121212121213,0.0,0.15625,0.0,0.21212121212121213,0.0,0.21875,0.0,0.125,0.03125,0.13333333333333333,0.06666666666666667,0.125,0.03125,0.1935483870967742,0.06451612903225806
2014/s/2014/934/17:1,0.4,0.1,0.2222222222222222,0.07407407407407407,0.34782608695652173,0.13043478260869565,0.2222222222222222,0.07407407407407407,0.4090909090909091,0.13636363636363635,0.35,0.1,0.3684210526315789,0.10526315789473684,0.35,0.1,0.5,0.1111111111111111
2005/s/2005/642/28:3,0.2608695652173913,0.0,0.2608695652173913,0.0,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.2962962962962963,0.0,0.2916666666666667,0.041666666666666664,0.2962962962962963,0.0,0.30434782608695654,0.0
2010/s/2010/528/121:3,0.25,0.125,0.12903225806451613,0.06451612903225806,0.25,0.125,0.12903225806451613,0.06451612903225806,0.16666666666666666,0.06666666666666667,0.16,0.0,0.3157894736842105,0.05263157894736842,0.16,0.0,0.14814814814814814,0.0
2014/s/2014/929/47:6,0.11538461538461539,0.0,0.13636363636363635,0.045454545454545456,0.15,0.05,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.0,0.13636363636363635,0.045454545454545456,0.14285714285714285,0.0,0.13636363636363635,0.045454545454545456,0.125,0.041666666666666664
2014/s/2014/869/17:4,0.25,0.0625,0.23684210526315788,0.02631578947368421,0.2857142857142857,0.02857142857142857,0.23684210526315788,0.02631578947368421,0.25,0.027777777777777776,0.20588235294117646,0.029411764705882353,0.21875,0.03125,0.20588235294117646,0.029411764705882353,0.21875,0.03125
1999/s/res/1267_1999_/37:1,0.25862068965517243,0.05172413793103448,0.24074074074074073,0.018518518518518517,0.25,0.017857142857142856,0.24074074074074073,0.018518518518518517,0.25862068965517243,0.05172413793103448,0.2692307692307692,0.0,0.25925925925925924,0.037037037037037035,0.2692307692307692,0.0,0.2727272727272727,0.03636363636363636
2012/s/2012/245/16:1,0.313953488372093,0.05813953488372093,0.25555555555555554,0.03333333333333333,0.29545454545454547,0.045454545454545456,0.25842696629213485,0.033707865168539325,0.27586206896551724,0.04597701149425287,0.2988505747126437,0.04597701149425287,0.32941176470588235,0.03529411764705882,0.2988505747126437,0.04597701149425287,0.26373626373626374,0.02197802197802198
2014/s/2014/921/27:1,0.21904761904761905,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.23297491039426524,0.043010752688172046,0.24302788844621515,0.04780876494023904,0.23222748815165878,0.04739336492890995,0.21691176470588236,0.04044117647058824,0.23008849557522124,0.05752212389380531,0.21691176470588236,0.04044117647058824,0.21551724137931033,0.03879310344827586
2013/s/2013/769/22:2,0.3148148148148148,0.037037037037037035,0.29310344827586204,0.034482758620689655,0.288135593220339,0.03389830508474576,0.3157894736842105,0.03508771929824561,0.2857142857142857,0.03571428571428571,0.3103448275862069,0.05172413793103448,0.29508196721311475,0.03278688524590164,0.2903225806451613,0.04838709677419355,0.2857142857142857,0.031746031746031744
2014/s/2014/935/72:3,0.21153846153846154,0.07692307692307693,0.18867924528301888,0.05660377358490566,0.16666666666666666,0.05555555555555555,0.17307692307692307,0.057692307692307696,0.18518518518518517,0.05555555555555555,0.18181818181818182,0.07272727272727272,0.22641509433962265,0.07547169811320754,0.18181818181818182,0.07272727272727272,0.2708333333333333,0.08333333333333333
2014/s/2014/74/11:2,0.2698412698412698,0.031746031746031744,0.27419354838709675,0.016129032258064516,0.3050847457627119,0.01694915254237288,0.27419354838709675,0.016129032258064516,0.23943661971830985,0.0,0.25,0.015625,0.22033898305084745,0.03389830508474576,0.25,0.015625,0.234375,0.015625
2008/s/2008/250/22:1,0.3,0.025,0.35135135135135137,0.05405405405405406,0.29411764705882354,0.029411764705882353,0.35135135135135137,0.05405405405405406,0.35294117647058826,0.058823529411764705,0.2857142857142857,0.023809523809523808,0.3,0.05,0.2857142857142857,0.023809523809523808,0.275,0.025
2014/s/2014/9/68:1,0.30434782608695654,0.0,0.25,0.0,0.2857142857142857,0.014285714285714285,0.25,0.0,0.2898550724637681,0.014492753623188406,0.2714285714285714,0.0,0.2676056338028169,0.0,0.2714285714285714,0.0,0.28169014084507044,0.014084507042253521
