id,es_general_rare_proportion,es_genre_rare_proportion,en_es_DEEP_general_rare_proportion,en_es_DEEP_genre_rare_proportion,en_es_DEEPL_general_rare_proportion,en_es_DEEPL_genre_rare_proportion,en_es_GOOGLE_general_rare_proportion,en_es_GOOGLE_genre_rare_proportion,en_es_TRANSFORMERS_general_rare_proportion,en_es_TRANSFORMERS_genre_rare_proportion
2011/s/2011/463/305:7,0.32,0.16,0.2916666666666667,0.125,0.3684210526315789,0.15789473684210525,0.2916666666666667,0.125,0.3076923076923077,0.15384615384615385
2005/s/2005/686/23:1,0.3404255319148936,0.06382978723404255,0.3548387096774194,0.10752688172043011,0.32673267326732675,0.039603960396039604,0.3548387096774194,0.10752688172043011,0.3711340206185567,0.08247422680412371
2011/s/2011/245/131:3,0.34285714285714286,0.08571428571428572,0.34285714285714286,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.2972972972972973,0.13513513513513514,0.28205128205128205,0.10256410256410256
2014/s/2014/934/17:1,0.42857142857142855,0.14285714285714285,0.34782608695652173,0.17391304347826086,0.45454545454545453,0.22727272727272727,0.34782608695652173,0.17391304347826086,0.36363636363636365,0.13636363636363635
2005/s/2005/642/28:3,0.32,0.08,0.2692307692307692,0.07692307692307693,0.27586206896551724,0.10344827586206896,0.2692307692307692,0.07692307692307693,0.3103448275862069,0.10344827586206896
2010/s/2010/528/121:3,0.2702702702702703,0.08108108108108109,0.3333333333333333,0.14814814814814814,0.3333333333333333,0.14814814814814814,0.3333333333333333,0.14814814814814814,0.3333333333333333,0.14814814814814814
2014/s/2014/929/47:6,0.30434782608695654,0.043478260869565216,0.25925925925925924,0.0,0.21428571428571427,0.0,0.25925925925925924,0.0,0.2857142857142857,0.03571428571428571
2014/s/2014/869/17:4,0.28846153846153844,0.038461538461538464,0.34146341463414637,0.04878048780487805,0.30952380952380953,0.047619047619047616,0.34146341463414637,0.04878048780487805,0.2727272727272727,0.045454545454545456
1999/s/res/1267_1999_/37:1,0.30158730158730157,0.031746031746031744,0.2857142857142857,0.047619047619047616,0.3064516129032258,0.03225806451612903,0.27419354838709675,0.03225806451612903,0.3225806451612903,0.03225806451612903
2012/s/2012/245/16:1,0.2871287128712871,0.09900990099009901,0.32978723404255317,0.1276595744680851,0.32323232323232326,0.12121212121212122,0.32978723404255317,0.1276595744680851,0.2912621359223301,0.0970873786407767
2014/s/2014/921/27:1,0.3959731543624161,0.07046979865771812,0.40444444444444444,0.09777777777777778,0.40444444444444444,0.09333333333333334,0.40444444444444444,0.09777777777777778,0.40669856459330145,0.0861244019138756
2013/s/2013/769/22:2,0.4126984126984127,0.14285714285714285,0.36507936507936506,0.14285714285714285,0.4666666666666667,0.18333333333333332,0.36507936507936506,0.14285714285714285,0.423728813559322,0.11864406779661017
2014/s/2014/935/72:3,0.3269230769230769,0.09615384615384616,0.3958333333333333,0.14583333333333334,0.36538461538461536,0.11538461538461539,0.3958333333333333,0.14583333333333334,0.37037037037037035,0.09259259259259259
2014/s/2014/74/11:2,0.23404255319148937,0.031914893617021274,0.27848101265822783,0.02531645569620253,0.27586206896551724,0.022988505747126436,0.27848101265822783,0.02531645569620253,0.28888888888888886,0.022222222222222223
2008/s/2008/250/22:1,0.37777777777777777,0.08888888888888889,0.3617021276595745,0.06382978723404255,0.3829787234042553,0.06382978723404255,0.3617021276595745,0.06382978723404255,0.3829787234042553,0.0851063829787234
2014/s/2014/9/68:1,0.35,0.0375,0.3333333333333333,0.01282051282051282,0.35064935064935066,0.012987012987012988,0.325,0.0,0.32051282051282054,0.0
2005/s/2005/642/54:5,0.3488372093023256,0.13953488372093023,0.3,0.125,0.3055555555555556,0.1388888888888889,0.3,0.125,0.3,0.125
2013/s/2013/447/22:4,0.34285714285714286,0.02857142857142857,0.43243243243243246,0.05405405405405406,0.42105263157894735,0.05263157894736842,0.43243243243243246,0.05405405405405406,0.40540540540540543,0.02702702702702703
2009/s/prst/2009/1/595:1,0.375,0.025,0.3684210526315789,0.0,0.3333333333333333,0.0,0.3684210526315789,0.0,0.34146341463414637,0.0
2009/s/res/1904_2009_/68:1,0.3548387096774194,0.016129032258064516,0.3559322033898305,0.03389830508474576,0.296875,0.03125,0.3559322033898305,0.03389830508474576,0.31746031746031744,0.015873015873015872
2005/s/2005/636/29:1,0.38461538461538464,0.038461538461538464,0.3103448275862069,0.06896551724137931,0.3448275862068966,0.06896551724137931,0.3103448275862069,0.06896551724137931,0.39285714285714285,0.03571428571428571
2008/s/prst/2008/45/2:1,0.32653061224489793,0.02040816326530612,0.34615384615384615,0.019230769230769232,0.3269230769230769,0.019230769230769232,0.36538461538461536,0.057692307692307696,0.34615384615384615,0.019230769230769232
2010/s/prst/2010/25/568:1,0.4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,0.0
2012/s/res/2083__2012_/178:1,0.2727272727272727,0.045454545454545456,0.391304347826087,0.08695652173913043,0.34782608695652173,0.08695652173913043,0.4090909090909091,0.09090909090909091,0.34782608695652173,0.043478260869565216
2013/s/2013/792/18:1,0.3235294117647059,0.058823529411764705,0.4032258064516129,0.03225806451612903,0.35135135135135137,0.05405405405405406,0.3870967741935484,0.03225806451612903,0.3333333333333333,0.045454545454545456
2008/s/2008/258/81:3,0.28,0.04,0.30434782608695654,0.0,0.3333333333333333,0.0,0.30434782608695654,0.0,0.2916666666666667,0.0
