mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.8207807955259998,0,0,737,810,80,72,0.9678046138248081,0.955685841092479,0.34709609080763426,0.9105356091818717,0.9020807833537332,0.9110012360939431,0.906519065190652,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,1
0.826194492608191,0,0,760,790,100,49,0.9672448993763976,0.9594540535250514,0.358053120181841,0.9123013537374927,0.8837209302325582,0.9394313967861557,0.9107249850209707,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,2
0.8291449151630732,0,0,743,811,79,66,0.9663518562242192,0.9551327970856682,0.4432903685990502,0.914655679811654,0.9038929440389294,0.9184177997527813,0.9110974862047823,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,3
0.830065843405294,0,0,755,799,91,54,0.9675129512090109,0.9513682785506284,0.5026665391290889,0.914655679811654,0.892434988179669,0.9332509270704573,0.9123867069486404,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,4
0.8423051293510383,0,0,764,800,90,45,0.965762975514229,0.94936508072757,0.5113518264363793,0.9205414949970571,0.8946135831381733,0.9443757725587144,0.9188214070956103,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,123,8,5
0.8324025075687371,0,0,777,776,114,32,0.9668935153678422,0.9551965290442614,0.33154986711109385,0.9140670982931136,0.8720538720538721,0.9604449938195303,0.9141176470588235,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,1
0.8354097321637663,0,0,781,774,116,28,0.9726503798558352,0.9613722279084029,0.2862781750805238,0.9152442613301942,0.8706800445930881,0.965389369592089,0.9155920281359906,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,2
0.8406907897310271,0,0,739,825,65,70,0.9701518034471743,0.9615719635632728,0.3694961294531822,0.9205414949970571,0.9191542288557214,0.9134734239802225,0.9163050216986981,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,3
0.8366736203578614,0,0,753,807,83,56,0.968892098720851,0.9559671618582034,0.45529308739830465,0.9181871689228959,0.9007177033492823,0.930778739184178,0.9155015197568389,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,4
0.8350167392110502,0,0,745,814,76,64,0.9691879279454452,0.9513294766003589,0.4989645761602065,0.9175985874043555,0.9074299634591961,0.9208899876390606,0.9141104294478528,Binary_EN_AR_GT,ConfliBERT-Arabic-multilingual-cased-v2,124,8,5
