id,en_es_DEEP_difference_general_rare_proportion,en_es_DEEP_difference_genre_rare_proportion,en_es_DEEPL_difference_general_rare_proportion,en_es_DEEPL_difference_genre_rare_proportion,en_es_GOOGLE_difference_general_rare_proportion,en_es_GOOGLE_difference_genre_rare_proportion,en_es_TRANSFORMERS_difference_general_rare_proportion,en_es_TRANSFORMERS_difference_genre_rare_proportion,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/305:7,-0.1789215686274509,0.06617647058823531,-0.10216718266253866,0.09907120743034051,-0.1789215686274509,0.06617647058823531,-0.16289592760180988,0.09502262443438911,0.21691176470588241,0.4411764705882353,0.21691176470588241,0.4411764705882353,0.19607843137254904,0.40784313725490196,0.2627450980392157,0.40784313725490196
2005/s/2005/686/23:1,0.02542694497153708,0.0487033523086654,-0.002679091438555603,-0.0192195690157251,0.02542694497153708,0.0487033523086654,0.04172225591267442,0.023650697392358998,0.1705882352941177,0.1286764705882353,0.1549632352941177,0.1286764705882353,0.1705882352941177,0.1286764705882353,0.14028520499108743,0.13814616755793221
2011/s/2011/245/131:3,0.1142857142857143,0.05714285714285709,0.1047619047619048,0.025396825396825404,0.0687258687258688,0.049420849420849386,0.053479853479853484,0.016849816849816804,0.1653679653679654,0.0354978354978355,0.22304147465437787,0.1400921658986175,0.1653679653679654,0.0354978354978355,0.19999999999999998,0.0857142857142857
2014/s/2014/934/17:1,-0.10217391304347834,0.0739130434782608,0.004545454545454464,0.1272727272727272,-0.10217391304347834,0.0739130434782608,-0.08636363636363642,0.03636363636363629,0.21666666666666662,0.0666666666666666,0.2558823529411765,0.0764705882352941,0.21666666666666662,0.0666666666666666,0.2558823529411765,0.19411764705882348
2005/s/2005/642/28:3,-0.03511705685618727,0.0769230769230769,-0.028485757121439303,0.1034482758620689,-0.03511705685618727,0.0769230769230769,0.005997001499250421,0.1034482758620689,0.40153452685422003,0.2352941176470588,0.40153452685422003,0.2352941176470588,0.40153452685422003,0.2352941176470588,0.40153452685422003,0.2352941176470588
2010/s/2010/528/121:3,-0.041666666666666685,-0.01851851851851849,-0.041666666666666685,-0.01851851851851849,-0.041666666666666685,-0.01851851851851849,-0.041666666666666685,-0.01851851851851849,0.10499999999999998,0.03333333333333341,0.04807692307692307,0.0641025641025641,0.10499999999999998,0.03333333333333341,0.065,-0.006666666666666599
2014/s/2014/929/47:6,0.0669515669515669,0.0,0.0219780219780219,0.0,0.0669515669515669,0.0,0.09340659340659341,0.0357142857142857,0.04578754578754571,0.0,0.1606334841628959,0.0,0.03496503496503492,0.0,0.1076923076923077,0.05
2014/s/2014/869/17:4,-0.06478658536585369,-0.013719512195121998,-0.09672619047619052,-0.014880952380952397,-0.06478658536585369,-0.013719512195121998,-0.1335227272727273,-0.0170454545454546,0.048295454545454475,-0.0018939393939393992,0.09375,0.0,0.048295454545454475,-0.0018939393939393992,0.0785984848484848,0.028409090909090898
1999/s/res/1267_1999_/37:1,-0.00738916256157629,-0.004105090311986796,0.013348164627363823,-0.019466073414905402,-0.01890989988876529,-0.019466073414905402,0.029477196885428325,-0.019466073414905402,0.206896551724138,0.1357758620689656,0.21800766283524908,0.14827586206896562,0.206896551724138,0.1357758620689656,0.1749816581071167,0.18231841526045492
2012/s/2012/245/16:1,-0.007422068283028271,0.057892132607619995,-0.01397697909325818,0.0514446793516561,-0.007422068283028271,0.057892132607619995,-0.045947166403251305,0.027319936780311596,0.15594138260592544,0.12201338005734311,0.16279069767441862,0.1464487743557511,0.15594138260592544,0.12201338005734311,0.1561240310077519,0.1435658914728682
2014/s/2014/921/27:1,0.0377777777777778,0.0406349206349206,0.0377777777777778,0.036190476190476197,0.0377777777777778,0.0406349206349206,0.04003189792663481,0.028981544771018504,0.21754385964912293,0.10075187969924809,0.21552511415525122,0.1277886497064579,0.21228070175438607,0.09548872180451129,0.21794871794871806,0.12234432234432238
2013/s/2013/769/22:2,-0.04232804232804238,0.05026455026455029,0.05925925925925929,0.09074074074074079,-0.04232804232804238,0.05026455026455029,0.01632140615191463,0.0260514752040176,0.3175925925925926,0.2324074074074075,0.3425925925925926,0.2574074074074075,0.3175925925925926,0.2324074074074075,0.3618233618233619,0.2407407407407408
2014/s/2014/935/72:3,0.10737179487179493,0.06891025641025639,0.07692307692307693,0.038461538461538394,0.10737179487179493,0.06891025641025639,0.08190883190883191,0.015669515669515605,0.150562851782364,0.19136960600375238,0.17307692307692313,0.2051282051282051,0.150562851782364,0.19136960600375238,0.08363148479427551,0.1788908765652952
2014/s/2014/74/11:2,-0.023106288929073737,-0.022302591922845103,-0.025725232621784333,-0.024630541871921204,-0.023106288929073737,-0.022302591922845103,-0.012698412698412709,-0.025396825396825404,0.2455825097334532,0.1599281221922731,0.22472848788638267,0.1278195488721804,0.2561050061050062,0.1254578754578754,0.20718462823725992,0.1278195488721804
2008/s/2008/250/22:1,-0.0632978723404255,0.013829787234042504,-0.04202127659574467,0.013829787234042504,-0.0632978723404255,0.013829787234042504,-0.04202127659574467,0.0351063829787234,0.12500000000000006,0.12499999999999999,0.12500000000000006,0.12499999999999999,0.12500000000000006,0.12499999999999999,0.14318181818181824,0.10909090909090909
