id,es_en_DEEP_to_es_difference_general_rarity,es_en_DEEP_to_es_difference_genre_rarity,es_en_DEEPL_to_es_difference_general_rarity,es_en_DEEPL_to_es_difference_genre_rarity,es_en_GOOGLE_to_es_difference_general_rarity,es_en_GOOGLE_to_es_difference_genre_rarity,es_en_TRANSFORMERS_to_es_difference_general_rarity,es_en_TRANSFORMERS_to_es_difference_genre_rarity
2011/s/2011/463/305:7,0.19368421052631568,-0.08,0.21999999999999997,-0.08,0.19368421052631568,-0.08,0.19368421052631568,-0.08
2005/s/2005/686/23:1,-0.05708354955889988,-0.0166061235080436,-0.06969919295671317,-0.007214477867449304,-0.05708354955889988,-0.0166061235080436,-0.05306633291614518,-0.006132665832290399
2011/s/2011/245/131:3,-0.01645021645021641,-0.0571428571428571,-0.07232142857142851,-0.0571428571428571,-0.01645021645021641,-0.0571428571428571,-0.009821428571428509,-0.0571428571428571
2014/s/2014/934/17:1,-0.13492063492063489,-0.0687830687830688,-0.009316770186335421,-0.0124223602484472,-0.13492063492063489,-0.0687830687830688,0.05194805194805202,-0.006493506493506496
2005/s/2005/642/28:3,-0.05913043478260871,-0.04,-0.01565217391304352,0.0034782608695652015,-0.01565217391304352,0.0034782608695652015,-0.01565217391304352,0.0034782608695652015
2010/s/2010/528/121:3,-0.03312990409764599,0.010462074978203992,0.08783783783783791,0.070945945945946,-0.03312990409764599,0.010462074978203992,0.004504504504504514,0.012612612612612595
2014/s/2014/929/47:6,-0.0810276679841897,0.001976284584980198,-0.067391304347826,0.0065217391304348005,-0.0810276679841897,0.001976284584980198,-0.1264822134387351,-0.0434782608695652
2014/s/2014/869/17:4,0.02530364372469629,-0.012145748987854203,0.07417582417582419,-0.0098901098901099,0.02530364372469629,-0.012145748987854203,0.03846153846153849,-0.010683760683760701
1999/s/res/1267_1999_/37:1,-0.044973544973545,-0.013227513227513202,-0.0357142857142857,-0.013888888888888902,-0.044973544973545,-0.013227513227513202,-0.027093596059113323,0.019978106185002696
2012/s/2012/245/16:1,-0.021672167216721716,-0.0458745874587459,0.018226822682268218,-0.033753375337533795,-0.0188007564801424,-0.0455000556235399,-0.0013656538067600144,-0.0332309092978264
2014/s/2014/921/27:1,-0.11089805049536602,-0.009427932246724197,-0.11601837819633881,-0.014036227177599801,-0.10596540014438893,-0.009238214925532798,-0.11676580043894533,-0.009653614936861898
2013/s/2013/769/22:2,-0.040229885057471326,-0.0925013683634373,-0.04519774011299432,-0.0930858218993812,-0.017543859649122806,-0.0918964076858813,-0.047619047619047616,-0.0912698412698412
2014/s/2014/935/72:3,-0.0613207547169812,-0.0203193033381713,-0.0833333333333334,-0.021367521367521403,-0.07692307692307701,-0.0192307692307693,-0.06481481481481491,-0.021367521367521403
2014/s/2014/74/11:2,0.0507892930679478,0.005490734385724099,0.08168049044356299,0.006310854670032402,0.0507892930679478,0.005490734385724099,0.016032364399160892,-0.0106382978723404
2008/s/2008/250/22:1,0.06246246246246251,-0.034834834834834794,0.0052287581699346775,-0.05947712418300649,0.06246246246246251,-0.034834834834834794,0.0640522875816994,-0.030065359477124097
2014/s/2014/9/68:1,0.0,0.0,0.0357142857142857,0.0142857142857142,0.0,0.0,0.039855072463768126,0.0144927536231884
2005/s/2005/642/54:5,-0.028151774785801692,-0.03427172582619341,-0.028151774785801692,-0.03427172582619341,-0.001835985312117483,-0.03427172582619341,-0.028151774785801692,-0.03427172582619341
2013/s/2013/447/22:4,-0.05238095238095239,-0.0285714285714285,-0.05238095238095239,-0.0285714285714285,-0.05238095238095239,-0.0285714285714285,-0.05238095238095239,-0.0285714285714285
2009/s/prst/2009/1/595:1,-0.0035714285714286143,-0.025,0.008333333333333304,-0.025,-0.0035714285714286143,-0.025,-0.0346774193548387,-0.025
2009/s/res/1904_2009_/68:1,-0.056989247311828,0.0166666666666666,-0.08342602892102341,0.0,-0.0360852925095681,0.0169491525423728,-0.06998359759431391,0.0
2005/s/2005/636/29:1,-0.06882591093117407,0.0,-0.19413919413919417,0.0,-0.06882591093117407,0.0,-0.08461538461538459,0.0
2008/s/prst/2008/45/2:1,-0.07729049066435091,0.0008684324793746985,-0.07729049066435091,0.0008684324793746985,-0.03473729917498922,0.0434216239687364,-0.04081632653061232,0.0
2010/s/prst/2010/25/568:1,-0.06666666666666671,0.0,0.02857142857142847,0.0,-0.06666666666666671,0.0,-0.11428571428571432,0.0
2012/s/res/2083__2012_/178:1,-0.0272727272727272,-0.0454545454545454,-0.06937799043062201,-0.0454545454545454,-0.0272727272727272,-0.0454545454545454,-0.0272727272727272,-0.0454545454545454
2013/s/2013/792/18:1,0.04316888045540801,-0.0426944971537002,0.11681465038845729,-0.021087680355160995,0.04316888045540801,-0.0426944971537002,0.08265720081135908,-0.0415821501014199
2008/s/2008/258/81:3,0.16842105263157892,-0.04,0.03809523809523799,-0.04,0.16842105263157892,-0.04,0.03809523809523799,-0.04
2011/s/2011/463/168:5,-0.08741258741258742,-0.0384615384615384,-0.07692307692307693,-0.0384615384615384,-0.08741258741258742,-0.0384615384615384,-0.0692307692307692,-0.0384615384615384
2005/s/2005/636/676:1,0.03809523809523807,-0.0032840722495894037,-0.027659574468085146,0.0330887747615554,0.051923076923076905,0.006697612732095501,0.024528301886792392,0.005790500975927197
2014/s/2014/935/80:2,-0.011824324324324287,0.035472972972973,-0.021294021294021304,0.0335790335790336,0.009009009009009028,0.1063063063063063,-0.021294021294021304,0.0335790335790336
