id,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/305:7,0.0404411764705882,0.08823529411764708,0.0404411764705882,0.08823529411764708,0.019607843137254832,0.05490196078431375,0.08627450980392148,0.05490196078431375
2005/s/2005/686/23:1,0.041666666666666685,-0.048611111111111105,0.026041666666666685,-0.048611111111111105,0.041666666666666685,-0.048611111111111105,0.011363636363636409,-0.0391414141414142
2011/s/2011/245/131:3,-0.12457912457912457,-0.06397306397306389,-0.0669056152927121,0.0406212664277181,-0.12457912457912457,-0.06397306397306389,-0.08994708994709,-0.01375661375661369
2014/s/2014/934/17:1,-0.06060606060606066,-0.15151515151515157,-0.021390374331550777,-0.14171122994652408,-0.06060606060606066,-0.15151515151515157,-0.021390374331550777,-0.024064171122994693
2005/s/2005/642/28:3,-0.016339869281045694,-0.042483660130719,-0.016339869281045694,-0.042483660130719,-0.016339869281045694,-0.042483660130719,-0.016339869281045694,-0.042483660130719
2010/s/2010/528/121:3,0.05142857142857149,-0.03809523809523799,-0.0054945054945054195,-0.0073260073260073,0.05142857142857149,-0.03809523809523799,0.01142857142857151,-0.078095238095238
2014/s/2014/929/47:6,-0.025062656641604092,-0.1052631578947368,0.08978328173374611,-0.1052631578947368,-0.03588516746411488,-0.1052631578947368,0.0368421052631579,-0.05526315789473679
2014/s/2014/869/17:4,-0.0025974025974025983,-0.08225108225108219,0.04285714285714293,-0.0803571428571428,-0.0025974025974025983,-0.08225108225108219,0.027705627705627733,-0.051948051948051896
1999/s/res/1267_1999_/37:1,0.09999999999999998,-0.05694444444444441,0.11111111111111105,-0.0444444444444444,0.09999999999999998,-0.05694444444444441,0.06808510638297866,-0.010401891252955098
2012/s/2012/245/16:1,-0.006849315068493178,-0.010921880784894478,0.0,0.013513513513513514,-0.006849315068493178,-0.010921880784894478,-0.00666666666666671,0.010630630630630605
2014/s/2014/921/27:1,0.002909713307659434,-0.0412922550278135,0.0008909678137877242,-0.014255485020603698,-0.0023534445870774245,-0.046555412922550304,0.0033145716072545683,-0.019699812382739212
2013/s/2013/769/22:2,-0.04772727272727273,-0.06136363636363629,-0.022727272727272707,-0.03636363636363632,-0.04772727272727273,-0.06136363636363629,-0.0034965034965034336,-0.05303030303030298
2014/s/2014/935/72:3,-0.037166085946573724,0.07781649245063887,-0.0146520146520146,0.09157509157509158,-0.037166085946573724,0.07781649245063887,-0.10409745293466222,0.0653377630121817
2014/s/2014/74/11:2,-0.004554326610279769,0.0006506180871828082,-0.025408348457350294,-0.031457955232909895,0.005968169761273234,-0.03381962864721491,-0.042952208106473044,-0.031457955232909895
2008/s/2008/250/22:1,0.06219512195121957,-0.020121951219512213,0.06219512195121957,-0.020121951219512213,0.06219512195121957,-0.020121951219512213,0.08037694013303776,-0.036031042128603114
2014/s/2014/9/68:1,-0.06627680311890838,-0.0750487329434697,-0.03902116402116396,-0.07473544973544971,-0.06627680311890838,-0.057504873294346906,-0.04873294346978552,-0.022417153996101308
2005/s/2005/642/54:5,-0.051724137931034475,-0.10883620689655171,-0.017241379310344807,-0.10883620689655171,-0.016129032258064502,-0.1199596774193549,0.033333333333333326,-0.014583333333333393
2013/s/2013/447/22:4,0.025252525252525193,0.007575757575757597,-0.022875816993464082,0.004901960784313694,0.025252525252525193,0.007575757575757597,0.05555555555555547,0.007575757575757597
2009/s/prst/2009/1/595:1,0.0,0.0,0.01449275362318836,-0.0036231884057971037,0.0,0.0,0.01449275362318836,-0.0036231884057971037
2009/s/res/1904_2009_/68:1,0.0038461538461538325,-0.042735042735042694,-0.040598290598290565,-0.064957264957265,0.0038461538461538325,-0.042735042735042694,0.012541806020066937,-0.001672240802675612
2005/s/2005/636/29:1,-0.05555555555555558,0.0,-0.05555555555555558,0.0,-0.05555555555555558,0.0,-0.05555555555555558,0.0
2008/s/prst/2008/45/2:1,0.0016339869281046249,-0.0016339869281046006,0.0016339869281046249,-0.0016339869281046006,0.029411764705882415,-0.003095975232198102,0.015126050420168125,-0.0008403361344537993
2010/s/prst/2010/25/568:1,-0.1428571428571429,-0.1428571428571428,-0.1428571428571429,-0.1428571428571428,-0.1428571428571429,-0.1428571428571428,0.0357142857142857,-0.017857142857142794
2012/s/res/2083__2012_/178:1,0.0625,0.0,0.08088235294117652,-0.003676470588235302,0.0625,0.0,0.2416666666666667,0.004166666666666596
2013/s/2013/792/18:1,-0.05233990147783252,-0.1360837438423646,-0.06896551724137934,-0.0862068965517242,-0.05233990147783252,-0.1360837438423646,-0.015964240102171123,-0.1155810983397191
2008/s/2008/258/81:3,0.055882352941176494,-0.04117647058823531,0.07222222222222219,0.0666666666666666,0.055882352941176494,-0.04117647058823531,0.07222222222222219,0.1222222222222222
2011/s/2011/463/168:5,-0.09230769230769231,-0.020512820512820495,-0.049450549450549386,-0.010989010989011005,-0.09230769230769231,-0.020512820512820495,-0.049450549450549386,-0.010989010989011005
2005/s/2005/636/676:1,-0.013936905790838394,-0.02106741573033699,0.0043053659561062,0.0034652945500368015,-0.004321521175453813,-0.02106741573033699,-0.04399763453577765,-0.019751626256652804
