id,en_es_DEEP_difference_general_rare_proportion,en_es_DEEP_difference_genre_rare_proportion,en_es_DEEPL_difference_general_rare_proportion,en_es_DEEPL_difference_genre_rare_proportion,en_es_GOOGLE_difference_general_rare_proportion,en_es_GOOGLE_difference_genre_rare_proportion,en_es_TRANSFORMERS_difference_general_rare_proportion,en_es_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/305:7,-0.02833333333333332,0.030000000000000027,0.04842105263157892,0.06947368421052635,-0.02833333333333332,0.030000000000000027,-0.012307692307692297,-0.027692307692307683
2005/s/2005/686/23:1,0.014413177762525764,0.007549759780370646,-0.013692858647566919,-0.00905835264377508,0.014413177762525764,0.007549759780370646,0.030708488703663106,0.04014038166264533
2011/s/2011/245/131:3,0.0,0.02857142857142858,-0.00952380952380949,0.0087301587301587,-0.04555984555984549,0.01698841698841702,-0.06080586080586081,-0.01904761904761909
2014/s/2014/934/17:1,-0.08074534161490682,0.017080745341614856,0.025974025974025983,0.0032467532467531646,-0.08074534161490682,0.017080745341614856,-0.0649350649350649,0.0032467532467531646
2005/s/2005/642/28:3,-0.05076923076923079,-0.029230769230769282,-0.044137931034482825,-0.035862068965517246,-0.05076923076923079,-0.029230769230769282,-0.0096551724137931,-0.0013793103448276334
2010/s/2010/528/121:3,0.06306306306306303,0.07507507507507505,0.06306306306306303,0.07507507507507505,0.06306306306306303,0.07507507507507505,0.06306306306306303,0.07507507507507505
2014/s/2014/929/47:6,-0.045088566827697296,0.025764895330112725,-0.0900621118012423,-0.004658385093167738,-0.045088566827697296,0.025764895330112725,-0.018633540372670787,0.03105590062111796
2014/s/2014/869/17:4,0.05300187617260793,0.011257035647279534,0.0210622710622711,0.016483516483516425,0.05300187617260793,0.011257035647279534,-0.015734265734265673,-0.019230769230769273
1999/s/res/1267_1999_/37:1,-0.015873015873015817,0.015873015873015817,0.004864311315924297,0.011008704557091686,-0.027393753200204818,0.027137736815156188,0.0209933435739888,0.027137736815156188
2012/s/2012/245/16:1,0.042658521171266006,0.021908573836107004,0.0361036103610361,0.03480348034803482,0.042658521171266006,0.021908573836107004,0.004133423051042973,0.01509180044218017
2014/s/2014/921/27:1,0.008471290082028293,0.02001491424310209,0.008471290082028293,0.015570469798657727,0.008471290082028293,0.02001491424310209,0.010725410230885302,0.01978099611444717
2013/s/2013/769/22:2,-0.04761904761904767,-0.031746031746031744,0.053968253968254,-0.05873015873015863,-0.04761904761904767,-0.031746031746031744,0.01103040086090934,-0.04573580844767278
2014/s/2014/935/72:3,0.06891025641025639,0.0016025641025640969,0.03846153846153838,0.019230769230769162,0.06891025641025639,0.0016025641025640969,0.04344729344729337,-0.009971509971509973
2014/s/2014/74/11:2,0.04443845946673847,0.04874764341502824,0.04181951577402787,-0.010760577158229423,0.04443845946673847,0.04874764341502824,0.054846335697399495,0.0099290780141843
2008/s/2008/250/22:1,-0.016075650118203222,0.03829787234042559,0.005200945626477604,0.017021276595744705,-0.016075650118203222,0.03829787234042559,0.005200945626477604,0.05957446808510636
2014/s/2014/9/68:1,-0.016666666666666663,0.016987179487179538,0.0006493506493506218,0.01282467532467535,-0.024999999999999967,0.025000000000000022,-0.029487179487179493,0.016987179487179538
2005/s/2005/642/54:5,-0.0488372093023256,0.005813953488372103,-0.04328165374677001,0.005813953488372103,-0.0488372093023256,0.005813953488372103,-0.0488372093023256,0.005813953488372103
2013/s/2013/447/22:4,0.0895752895752896,-0.016216216216216273,0.07819548872180448,-0.0368421052631579,0.0895752895752896,-0.016216216216216273,0.06254826254826257,-0.016216216216216273
2009/s/prst/2009/1/595:1,-0.006578947368421073,0.03815789473684217,-0.041666666666666685,0.018589743589743635,-0.006578947368421073,0.03815789473684217,-0.03353658536585369,-0.01768292682926831
2009/s/res/1904_2009_/68:1,0.001093493712411131,-0.013121924548933905,-0.05796370967741937,-0.02318548387096775,0.001093493712411131,-0.013121924548933905,-0.037378392217101986,0.019969278033794113
2005/s/2005/636/29:1,-0.07427055702917768,-0.08355437665782495,-0.039787798408488007,-0.08355437665782495,-0.07427055702917768,-0.08355437665782495,0.008241758241758212,-0.05769230769230771
2008/s/prst/2008/45/2:1,0.019623233908948212,-0.0027472527472527375,0.00039246467817904973,-0.0027472527472527375,0.03885400313971743,-0.0027472527472527375,0.019623233908948212,-0.0027472527472527375
2010/s/prst/2010/25/568:1,-0.06666666666666671,0.0888888888888888,-0.06666666666666671,0.0888888888888888,-0.06666666666666671,0.0888888888888888,0.0,0.0
2012/s/res/2083__2012_/178:1,0.11857707509881427,-0.07509881422924902,0.07509881422924897,-0.07509881422924902,0.1363636363636364,-0.045454545454545525,0.07509881422924897,-0.07509881422924902
2013/s/2013/792/18:1,0.07969639468690698,0.017077798861480087,0.027821939586645417,-0.027821939586645472,0.06356736242884248,0.017077798861480087,0.009803921568627416,-0.009803921568627527
2008/s/2008/258/81:3,0.02434782608695646,0.022608695652173938,0.05333333333333329,-0.010000000000000009,0.02434782608695646,0.022608695652173938,0.011666666666666659,-0.05166666666666664
2011/s/2011/463/168:5,-0.016194331983805654,0.09716599190283404,-0.016194331983805654,0.09716599190283404,-0.016194331983805654,0.09716599190283404,-0.0036630036630037055,0.06959706959706957
2005/s/2005/636/676:1,-0.03523238380809601,-0.004997501249375258,-0.010319657689403516,0.0005033979360684615,-0.001847290640394128,-0.017549261083743772,-0.011301072152999136,-0.07794842074760933
2014/s/2014/935/80:2,0.02007722007722007,-0.012355212355212308,-0.00849420849420851,0.016216216216216273,0.02007722007722007,-0.012355212355212308,0.02007722007722007,0.016216216216216273
