mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.6583993779911665,0,0,206,160,62,17,0.904799418252333,0.8902434247355512,0.4026551067829132,0.8224719101123595,0.7686567164179104,0.9237668161434978,0.8391038696537679,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,123,8,1
0.6711622312876854,0,0,203,167,55,20,0.9159697814406335,0.9078197974367564,0.3738028287887573,0.8314606741573034,0.7868217054263565,0.9103139013452914,0.8440748440748441,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,123,8,2
0.6359098609742887,0,0,169,194,28,54,0.9146366097038742,0.9112013001927284,0.5800689220428467,0.8157303370786517,0.8578680203045685,0.757847533632287,0.8047619047619048,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,123,8,3
0.6686924276297874,0,0,193,178,44,30,0.9177877428998505,0.91553174528606,0.8101385712623597,0.8337078651685393,0.8143459915611815,0.8654708520179372,0.8391304347826086,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,123,8,4
0.6586440928533804,0,0,188,181,41,35,0.9133034379671152,0.9105233377290034,0.9176488757133484,0.8292134831460675,0.8209606986899564,0.8430493273542601,0.8318584070796461,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,123,8,5
0.7035461688723113,0,0,207,170,52,16,0.920494485516907,0.909117292488013,0.3517003357410431,0.8471910112359551,0.7992277992277992,0.9282511210762332,0.8589211618257261,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,124,8,1
0.6445600272053665,0,0,210,151,71,13,0.910717892780673,0.8988119729037403,0.42820907235145567,0.8112359550561797,0.7473309608540926,0.9417040358744395,0.8333333333333334,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,124,8,2
0.6584252413848827,0,0,185,184,38,38,0.906092190845554,0.878020810938441,0.5279200077056885,0.8292134831460675,0.8295964125560538,0.8295964125560538,0.8295964125560538,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,124,8,3
0.6611696405547567,0,0,175,194,28,48,0.9173837514644689,0.8933611167929247,0.8331139564514161,0.8292134831460675,0.8620689655172413,0.7847533632286996,0.8215962441314555,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,124,8,4
0.6632241653772428,0,0,189,181,41,34,0.9133438371106533,0.8851403070088789,0.9005050778388977,0.8314606741573034,0.8217391304347826,0.8475336322869955,0.8344370860927154,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,124,8,5
0.6321925673364795,0,0,207,152,70,16,0.8987799458651478,0.881070062406709,0.4126120626926422,0.8067415730337079,0.7472924187725631,0.9282511210762332,0.828,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,125,8,1
0.7109346805662538,0,0,210,168,54,13,0.9127378499575808,0.8841742195008555,0.36019969582557676,0.849438202247191,0.7954545454545454,0.9417040358744395,0.8624229979466119,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,125,8,2
0.6559068840361498,0,0,176,192,30,47,0.9188179210600735,0.8998563164662441,0.48883441686630247,0.8269662921348314,0.8543689320388349,0.7892376681614349,0.8205128205128204,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,125,8,3
0.6722180630945329,0,0,190,182,40,33,0.9149194037086413,0.8959736063087165,0.7223424196243287,0.8359550561797753,0.8260869565217391,0.852017937219731,0.8388520971302429,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,125,8,4
0.6586440928533804,0,0,188,181,41,35,0.9147174079909506,0.8862259467609072,0.7981486678123474,0.8292134831460675,0.8209606986899564,0.8430493273542601,0.8318584070796461,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,125,8,5
0.5813240033738477,0,0,144,203,19,79,0.9058699955560942,0.8887273985742281,0.4671993374824524,0.7797752808988764,0.8834355828220859,0.6457399103139013,0.7461139896373058,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,126,8,1
0.645064072757889,0,0,164,200,22,59,0.9185351270553065,0.9082637261266977,0.507513165473938,0.8179775280898877,0.8817204301075269,0.7354260089686099,0.8019559902200489,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,126,8,2
0.7279227733619421,0,0,201,183,39,22,0.9234638225669616,0.9041454809092784,0.5414944887161255,0.8629213483146068,0.8375,0.9013452914798207,0.8682505399568035,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,126,8,3
0.6630700835960385,0,0,188,182,40,35,0.914818405849796,0.8826663375091061,0.825011384487152,0.8314606741573034,0.8245614035087719,0.8430493273542601,0.8337028824833703,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,126,8,4
0.6766293425278354,0,0,190,183,39,33,0.9158889831535572,0.8831897291364248,0.8541139364242554,0.8382022471910112,0.8296943231441049,0.852017937219731,0.8407079646017699,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,126,8,5
0.6371689951594074,0,0,197,166,56,26,0.9027592615036562,0.8855019902123374,0.3925968587398529,0.8157303370786517,0.7786561264822134,0.8834080717488789,0.8277310924369747,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,127,8,1
0.6768234866500006,0,0,200,172,50,23,0.9157879852947117,0.9012399085846025,0.3562657833099365,0.8359550561797753,0.8,0.8968609865470852,0.8456659619450317,ar_en_GOOGLE_binary_matcoop,ConfliBERT-cont-cased,127,8,2
