mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.5864659742043228,0,0,163,189,33,60,0.8807619278471296,0.8749468514128348,0.46022140979766846,0.7910112359550562,0.8316326530612245,0.7309417040358744,0.7780429594272077,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,123,8,1
0.5967428918615079,0,0,171,184,38,52,0.8915686987435866,0.8797223967006866,0.43199214339256287,0.797752808988764,0.8181818181818182,0.7668161434977578,0.7916666666666667,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,123,8,2
0.5961467055564447,0,0,173,182,40,50,0.8958106088150931,0.8912839690812988,0.6366338014602662,0.797752808988764,0.812206572769953,0.7757847533632287,0.793577981651376,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,123,8,3
0.5834591159333248,0,0,192,159,63,31,0.8841150567607967,0.8699193365756778,0.8327821493148804,0.7887640449438202,0.7529411764705882,0.8609865470852018,0.803347280334728,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,123,8,4
0.5783166543655296,0,0,182,169,53,41,0.8711267321132792,0.8546127474518694,0.9341005325317383,0.7887640449438202,0.774468085106383,0.8161434977578476,0.7947598253275108,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,123,8,5
0.6011425817108025,0,0,198,156,66,25,0.8939118490687997,0.8876385446058095,0.41548010110855105,0.7955056179775281,0.75,0.8878923766816144,0.8131416837782341,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,124,8,1
0.5872522872993577,0,0,200,150,72,23,0.8991435381569911,0.8939488725432907,0.48163403272628785,0.7865168539325843,0.7352941176470589,0.8968609865470852,0.8080808080808082,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,124,8,2
0.5962118289813367,0,0,163,191,31,60,0.9032238516543449,0.8963363599370031,0.7833034873008728,0.7955056179775281,0.8402061855670103,0.7309417040358744,0.7817745803357314,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,124,8,3
0.6467723013420512,0,0,192,174,48,31,0.8924372803296571,0.8610215309289495,0.7837145328521729,0.8224719101123595,0.8,0.8609865470852018,0.8293736501079914,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,124,8,4
0.6360220604370782,0,0,181,183,39,42,0.9001737163172142,0.8792693309755758,0.9209994673728943,0.8179775280898877,0.8227272727272728,0.8116591928251121,0.8171557562076751,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,124,8,5
0.5736857862625316,0,0,181,169,53,42,0.8699349573789036,0.8519126651475918,0.4593508422374725,0.7865168539325843,0.7735042735042735,0.8116591928251121,0.7921225382932167,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,125,8,1
0.6359559641737834,0,0,183,181,41,40,0.9010624974750535,0.884067436844228,0.41561746001243594,0.8179775280898877,0.8169642857142857,0.820627802690583,0.8187919463087248,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,125,8,2
0.5959762203459634,0,0,192,162,60,31,0.8842564537631802,0.8498593688943641,0.7932696580886841,0.7955056179775281,0.7619047619047619,0.8609865470852018,0.8084210526315789,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,125,8,3
0.6198040757359956,0,0,196,163,59,27,0.8923362824708116,0.8688398657990075,0.8554247140884399,0.8067415730337079,0.7686274509803922,0.8789237668161435,0.8200836820083682,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,125,8,4
0.6240250535292973,0,0,189,172,50,34,0.8951036238031754,0.8680017881489799,0.9436102986335755,0.8112359550561797,0.7907949790794979,0.8475336322869955,0.8181818181818181,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,125,8,5
0.6097757103092651,0,0,174,184,38,49,0.885226033208096,0.8684930609119661,0.4320623934268951,0.8044943820224719,0.8207547169811321,0.7802690582959642,0.8,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,126,8,1
0.628318384950294,0,0,166,195,27,57,0.892699874762655,0.8815006910667446,0.470109623670578,0.8112359550561797,0.8601036269430051,0.7443946188340808,0.7980769230769231,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,126,8,2
0.6177238806858887,0,0,210,144,78,13,0.9039308366662626,0.8836918394326153,0.9581040740013123,0.7955056179775281,0.7291666666666666,0.9417040358744395,0.8219178082191781,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,126,8,3
0.683883719909192,0,0,198,176,46,25,0.9050822122571002,0.8860759944016665,0.844640052318573,0.8404494382022472,0.8114754098360656,0.8878923766816144,0.8479657387580299,BinQuad_EN_AR_TRANSFORMERS_matcoop,ConfliBERT-Arabic-multilingual-cased-v2,126,8,4
